agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,colocated,queryTime
USGS,1211600,"BYRAM R AT RIVERSVILLE, CT.",ST,41.06065245,-73.67762878,FALSE,7/7/2022 11:39
USGS,1212100,"E BR BYRAM R AT RIVERSVILLE, CT.",ST,41.0609302,-73.67485089,FALSE,7/7/2022 11:39
USGS,1212500,"BYRAM RIVER AT PEMBERWICK, CT",ST,41.0272972,-73.66175,FALSE,7/7/2022 11:39
USGS,1211110,UNNAMED TRIBUTARY TO GREENWICH CREEK NR COS COB,ST,41.04273596,-73.6160428,FALSE,7/7/2022 11:39
USGS,1211106,"GREENWICH CREEK AT RTE 1 NR COS COB, CT",ST,41.0366833,-73.6100083,FALSE,7/7/2022 11:39
USGS,1210310,"E BRANCH MIANUS R AT WILDWOOD RD NR STAMFORD, CT",ST,41.13373056,-73.5879,FALSE,7/7/2022 11:39
USGS,1209900,"RIPPOWAM RIVER AT STAMFORD, CT",ST,41.06620794,-73.5576239,FALSE,7/7/2022 11:39
USGS,1209901,"RIPPOWAM RIVER AT STAMFORD, CT.",ST,41.0661111,-73.5492722,FALSE,7/7/2022 11:39
USGS,1209785,"NOROTON R NR STAMFORD, CT.",ST,41.09426329,-73.51512248,FALSE,7/7/2022 11:39
USGS,1209761,"FIVEMILE RIVER NEAR NEW CANAAN, CT",ST,41.1743222,-73.51107778,FALSE,7/7/2022 11:39
USGS,12095493,"RIDGEFIELD BROOK AT SHIELDS LANE NR RIDGEFIELD, CT",ST,41.31408889,-73.4928944,FALSE,7/7/2022 11:39
USGS,1200500,"HOUSATONIC RIVER AT GAYLORDSVILLE, CT",ST,41.6531496,-73.4898462,FALSE,7/7/2022 11:39
USGS,1209716,"EAST BRANCH SILVERMINE R AT RTE 33 NR WILTON, CT",ST,41.2326083,-73.4817611,FALSE,7/7/2022 11:39
USGS,1199290,"HOUSATONIC RIVER AT KENT, CT.",ST,41.7267608,-73.4815129,FALSE,7/7/2022 11:39
USGS,1209550,"RIDGEFIELD BK NR RIDGEFIELD,CT.",ST,41.31565075,-73.4795675,FALSE,7/7/2022 11:39
USGS,1201420,"STILL R AT SEEGAR ST AT DANBURY, CT",ST,41.38231705,-73.4740118,FALSE,7/7/2022 11:39
USGS,1209770,"FIVEMILE R NR NORWALK,CT.",ST,41.1006522,-73.45456488,FALSE,7/7/2022 11:39
USGS,1200600,"HOUSATONIC RIVER NEAR NEW MILFORD, CT",ST,41.5931499,-73.4495669,FALSE,7/7/2022 11:39
USGS,1208984,"UMPAWAUG POND BROOK AT SIMPAUG TPKE NR REDDING, CT",ST,41.3173833,-73.44413889,FALSE,7/7/2022 11:39
USGS,1209775,"KEELERS BROOK AT NORWALK, CT.",ST,41.08565234,-73.4428976,FALSE,7/7/2022 11:39
USGS,1199030,"WACHOCASTINOOK CK AT SALISBURY, CT.",ST,41.9884259,-73.43262099,FALSE,7/7/2022 11:39
USGS,1199200,"GUINEA BK AT WEST WOODS RD AT ELLSWORTH, CT",ST,41.82426069,-73.43012178,FALSE,7/7/2022 11:39
USGS,1198020,"SAGES RAVINE BROOK NEAR TACONIC, CONN.",ST,42.0495361,-73.4298414,FALSE,7/7/2022 11:39
USGS,1201470,"STILL R AT OLD NEWTOWN RD NR DANBURY, CT",ST,41.4067616,-73.425399,FALSE,7/7/2022 11:39
USGS,1201190,"WEST ASPETUCK R AT SAND RD NR NEW MILFORD, CT",ST,41.60787236,-73.424566,FALSE,7/7/2022 11:39
USGS,1199033,"FACTORY BK AT SALISBURY, CT.",ST,41.9753705,-73.4212318,FALSE,7/7/2022 11:39
USGS,1209700,"NORWALK RIVER AT SOUTH WILTON, CT",ST,41.16376667,-73.4195444,FALSE,7/7/2022 11:39
USGS,1201500,"STILL R NR LANESVILLE, CT.",ST,41.5200945,-73.4181766,FALSE,7/7/2022 11:39
USGS,1201510,"STILL R AT LANESVILLE, CT.",ST,41.5367612,-73.4173433,FALSE,7/7/2022 11:39
USGS,1198010,"SCHENOB BROOK AT TACONIC, CONN.",ST,42.0320365,-73.41095248,FALSE,7/7/2022 11:39
USGS,1209753,"BETTS POND BROOK AT NORWALK, CT.",ST,41.12613056,-73.40690278,FALSE,7/7/2022 11:39
