agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,colocated,queryTime
USGS,1198040,"KARNER BROOK NR MT WASHINGTON RD, S EGREMONT, MA",ST,42.1603676,-73.4687277,FALSE,7/7/2022 11:41
USGS,1198050,"KARNER BROOK AT JUG END ROAD NR S EGREMONT, MA",ST,42.15508995,-73.4548385,FALSE,7/7/2022 11:41
USGS,1198060,"FENTON BROOK NEAR SOUTH EGREMONT, MA",ST,42.15481218,-73.4470605,FALSE,7/7/2022 11:41
USGS,1197960,"SCRIBNER BROOK NEAR ALFORD, MA",ST,42.278421,-73.4290008,FALSE,7/7/2022 11:41
USGS,1197600,"BALDWIN BROOK NEAR STATE LINE, MA",ST,42.3300864,-73.4156665,FALSE,7/7/2022 11:41
USGS,1197650,"BALDWIN BROOK AT W CENTER RD NEAR STATE LINE, MA",ST,42.3320308,-73.4056661,FALSE,7/7/2022 11:41
USGS,1198070,"WILLARD BROOK NEAR SHEFFIELD, MA",ST,42.1114796,-73.3934492,FALSE,7/7/2022 11:41
USGS,1198000,"GREEN RIVER NEAR GREAT BARRINGTON, MA",ST,42.1929083,-73.3912306,FALSE,7/7/2022 11:41
USGS,1198030,"SCHENOB BROOK AT SHEFFIELD, MA",ST,42.1092575,-73.36872629,FALSE,7/7/2022 11:41
USGS,1197800,"WILLIAMS RIVER NEAR GREAT BARRINGTON, MA",ST,42.22619979,-73.3653888,FALSE,7/7/2022 11:41
USGS,1198075,"HUBBARD BROOK AT SHEFFIELD, MA",ST,42.1203684,-73.3623368,FALSE,7/7/2022 11:41
USGS,1197700,"CONE BROOK AT SLEEPY HOLLOW RD NEAR RICHMOND, MA",ST,42.38814076,-73.3592752,FALSE,7/7/2022 11:41
USGS,1197070,"MOUNT LEBANON BROOK AT SHAKER VILLAGE, MA",ST,42.4261955,-73.3553858,FALSE,7/7/2022 11:41
USGS,1197750,"CONE BROOK NEAR SWAMP ROAD NEAR RICHMOND, MA",ST,42.35980805,-73.3551088,FALSE,7/7/2022 11:41
USGS,1197500,"HOUSATONIC RIVER NEAR GREAT BARRINGTON, MA",ST,42.23191667,-73.3546667,FALSE,7/7/2022 11:41
USGS,1198080,"SCHENOB BROOK AT RT 7 AT SHEFFIELD, MA",ST,42.11425745,-73.35094778,FALSE,7/7/2022 11:41
USGS,1197080,"NORTH B MOUNT LEBANON BK AT SHAKER VILLAGE, MA",ST,42.4273066,-73.35010789,FALSE,7/7/2022 11:41
USGS,1198130,"HOUSATONIC RIVER AT ASHLEY FALLS, MA",ST,42.05870296,-73.34872739,FALSE,7/7/2022 11:41
USGS,1197090,"MOUNT LEBANON BROOK NEAR SHAKER VILLAGE, MA",ST,42.42314008,-73.3439966,FALSE,7/7/2022 11:41
USGS,1198125,"HOUSATONIC RIVER NEAR ASHLEY FALLS, MA",ST,42.0748138,-73.33344858,FALSE,7/7/2022 11:41
USGS,1198110,"SODA CREEK AT FINK RD NEAR SHEFFIELD, MA",ST,42.12647947,-73.32983559,FALSE,7/7/2022 11:41
