time,APCP_surface,DLWRF_surface,DSWRF_surface,PRES_surface,SPFH_2maboveground,TMP_2maboveground,UGRD_10maboveground,VGRD_10maboveground,precip_rate
12/1/2015 0:00,0,361.2000122,0,100530,0.0105,287.5,-2.600000143,0,0
12/1/2015 1:00,0,361.2000122,0,100610,0.0098,287.3000183,-2.700000048,-0.300000012,0
12/1/2015 2:00,0,361.2000122,0,100600,0.009099999,286.6000061,-2.799999952,-0.600000024,0
12/1/2015 3:00,0,357.6000061,0,100570,0.0087,285.5,-2.900000095,-0.900000036,0
12/1/2015 4:00,0,357.6000061,0,100590,0.0084,284.3000183,-2.600000143,-0.300000012,0
12/1/2015 5:00,0,357.6000061,0,100540,0.007999999,283.8999939,-2.299999952,0.400000006,0
12/1/2015 6:00,0,344.1000061,0,100510,0.0077,283.6000061,-2,1,0
12/1/2015 7:00,0,344.1000061,0,100490,0.0074,283.2000122,-2.100000143,0.699999988,0
12/1/2015 8:00,0,344.1000061,0,100550,0.0072,282.8999939,-2.200000048,0.5,0
12/1/2015 9:00,0,335,0,100460,0.007,282.5,-2.299999952,0.200000003,0
12/1/2015 10:00,0,335,0,100470,0.007,282.3000183,-2.400000095,0.600000024,0
12/1/2015 11:00,0,335,0,100480,0.0071,282.3000183,-2.400000095,0.900000036,0
12/1/2015 12:00,0,350.3999939,0,100530,0.007,282,-2.400000095,1.300000072,0
12/1/2015 13:00,0,350.3999939,85.09999847,100560,0.007,281.8999939,-2.600000143,1.200000048,0
12/1/2015 14:00,0,350.3000183,195.4000092,100610,0.0069,282.5,-2.700000048,1.100000024,0
12/1/2015 15:00,0,397,220,100600,0.007,282.3999939,-2.900000095,1,0
12/1/2015 16:00,0,397,264.7000122,100520,0.0072,282.8000183,-2.200000048,1.700000048,0
12/1/2015 17:00,0,397,276.5,100510,0.0075,283.1000061,-1.5,2.299999952,0
12/1/2015 18:00,0,385.3999939,395.2000122,100400,0.0077,283.5,-0.800000012,3,0
12/1/2015 19:00,0,385.3999939,345.6000061,100340,0.0081,284.3999939,-0.800000012,2.900000095,0
12/1/2015 20:00,0,385.3999939,268.2000122,100310,0.0082,284.7000122,-0.900000036,2.799999952,0
12/1/2015 21:00,0,394.3000183,120.5999985,100160,0.0082,284.3999939,-0.900000036,2.700000048,0
12/1/2015 22:00,0,394.3000183,21,100200,0.0084,285.1000061,-1.300000072,2.299999952,0
12/1/2015 23:00,0,394.3000183,0,100240,0.008599999,285.1000061,-1.700000048,1.800000072,0
12/2/2015 0:00,0,383.3000183,0,100190,0.008599999,285.2000122,-2.100000143,1.399999976,0
12/2/2015 1:00,0,383.3000183,0,100240,0.0088,285.3000183,-2,1.300000072,0
12/2/2015 2:00,0,383.3000183,0,100210,0.0088,285.6000061,-2,1.100000024,0
12/2/2015 3:00,0,371.3999939,0,100120,0.0089,285.7000122,-2,1,0
12/2/2015 4:00,0,371.3999939,0,100070,0.0092,285.8000183,-1.800000072,1.600000024,0
12/2/2015 5:00,0,371.3999939,0,100010,0.0089,285.7000122,-1.700000048,2.100000143,0
12/2/2015 6:00,0,369.1000061,0,99970,0.009099999,285.8999939,-1.600000024,2.700000048,0
12/2/2015 7:00,0,369.2000122,0,99880,0.0094,286.1000061,-1.600000024,3,0
12/2/2015 8:00,0,369.2000122,0,99870,0.0098,287,-1.700000048,3.400000095,9.49E-08
12/2/2015 9:00,0.200000003,370.6000061,0,99740,0.009699999,286.7000122,-1.700000048,3.799999952,0
12/2/2015 10:00,0,370.6000061,0,99720,0.0105,288,-1.600000024,3.700000048,0
12/2/2015 11:00,0,370.6000061,0,99710,0.011,288.6000061,-1.5,3.600000143,0
12/2/2015 12:00,0,380.8999939,0,99710,0.0112,289.3999939,-1.399999976,3.400000095,0
12/2/2015 13:00,0,380.8999939,72.5,99740,0.0117,289.7000122,-0.699999988,3.400000095,0
12/2/2015 14:00,0,380.8000183,168.6000061,99710,0.0121,290.3000183,0,3.299999952,2.44E-07
12/2/2015 15:00,0.5,405.1000061,130.8000031,99850,0.012,290.3000183,0.699999988,3.299999952,3.90E-07
12/2/2015 16:00,0.800000012,405.1000061,157.5,99840,0.0117,289.8000183,1.300000072,3.400000095,9.72E-08
12/2/2015 17:00,0.200000003,405.1000061,164.6999969,99710,0.0118,290.1000061,1.899999976,3.5,0
12/2/2015 18:00,0,397.5,145.1000061,99550,0.0117,290.3999939,2.5,3.600000143,0
12/2/2015 19:00,0,397.5,126.9000015,99520,0.011399999,290.2000122,3.299999952,3.5,0
12/2/2015 20:00,0,397.5,98.5,99400,0.0117,290,4.099999905,3.5,0
12/2/2015 21:00,0,376.2000122,67.70000458,99390,0.0121,290.3999939,4.900000095,3.400000095,0
12/2/2015 22:00,0,376.2000122,11.69999981,99410,0.0112,289.8999939,5,3.900000095,0
12/2/2015 23:00,0,376.2000122,0,99530,0.0088,289,5,4.5,0
12/3/2015 0:00,0,350.8000183,0,99570,0.0073,287.3000183,5.099999905,5.099999905,0
12/3/2015 1:00,0,350.8000183,0,99600,0.0067,286.2000122,4.900000095,4.400000095,0
12/3/2015 2:00,0,350.8999939,0,99680,0.0065,285.8000183,4.800000191,3.799999952,0
12/3/2015 3:00,0,296.7000122,0,99700,0.0062,284.8999939,4.599999905,3.100000143,0
12/3/2015 4:00,0,296.7000122,0,99740,0.006,284.3000183,4.5,2.200000048,0
12/3/2015 5:00,0,296.7000122,0,99850,0.006,283.3999939,4.400000095,1.399999976,0
12/3/2015 6:00,0,279.3999939,0,99880,0.0059,282.8000183,4.200000286,0.5,0
12/3/2015 7:00,0,279.3999939,0,99930,0.0059,282.2000122,3.700000048,-0.200000003,0
12/3/2015 8:00,0,279.3999939,0,100020,0.0058,281.6000061,3.299999952,-0.900000036,0
12/3/2015 9:00,0,257.1000061,0,100040,0.0058,281,2.799999952,-1.600000024,0
12/3/2015 10:00,0,257.1000061,0,100130,0.0057,280.6000061,2.200000048,-2.100000143,0
12/3/2015 11:00,0,257.1000061,0,100240,0.0055,280.5,1.600000024,-2.600000143,0
12/3/2015 12:00,0,254,0,100340,0.005,279.7000122,1,-3.100000143,0
12/3/2015 13:00,0,254,111.5999985,100460,0.0048,279.7000122,0.200000003,-3.900000095,0
12/3/2015 14:00,0,254,263.1000061,100550,0.0042,281.2000122,-0.600000024,-4.800000191,0
12/3/2015 15:00,0,268,390.6000061,100680,0.0036,282.3999939,-1.399999976,-5.599999905,0
12/3/2015 16:00,0,268,471.3000183,100720,0.0035,283.1000061,-1.700000048,-5.200000286,0
12/3/2015 17:00,0,268,493.3000183,100690,0.0036,283.5,-2,-4.900000095,0
12/3/2015 18:00,0,270.8999939,491.8999939,100700,0.0035,283.6000061,-2.299999952,-4.5,0
12/3/2015 19:00,0,270.8999939,430.6000061,100660,0.0037,283.8000183,-1.899999976,-4.300000191,0
12/3/2015 20:00,0,270.8999939,334.1000061,100750,0.0036,283.8999939,-1.600000024,-4.099999905,0
12/3/2015 21:00,0,255.8000031,180.6999969,100750,0.0038,283.3000183,-1.300000072,-3.900000095,0
12/3/2015 22:00,0,255.8000031,30.89999962,100870,0.004,282.1000061,-1.399999976,-3.700000048,0
12/3/2015 23:00,0,255.8000031,0,100930,0.0043,280.3000183,-1.5,-3.400000095,0
12/4/2015 0:00,0,236.6999969,0,101010,0.0042,280.3000183,-1.5,-3.100000143,0
12/4/2015 1:00,0,236.6999969,0,101130,0.0043,279.6000061,-1.700000048,-3.100000143,0
12/4/2015 2:00,0,236.6999969,0,101170,0.0042,278.7000122,-1.800000072,-3,0
12/4/2015 3:00,0,229.5,0,101260,0.0043,278.3000183,-1.899999976,-2.900000095,0
12/4/2015 4:00,0,229.5,0,101300,0.0042,277.6000061,-2,-2.900000095,0
12/4/2015 5:00,0,229.5,0,101270,0.004,277.5,-2,-2.799999952,0
12/4/2015 6:00,0,222.5,0,101270,0.0037,277.7000122,-2,-2.799999952,0
12/4/2015 7:00,0,222.5,0,101400,0.0038,277.3999939,-1.600000024,-2.900000095,0
12/4/2015 8:00,0,222.5,0,101460,0.0037,276.3999939,-1.200000048,-3.100000143,0
12/4/2015 9:00,0,217,0,101450,0.0036,275.3999939,-0.800000012,-3.200000048,0
12/4/2015 10:00,0,217,0,101510,0.0034,274.8000183,-0.900000036,-3.100000143,0
12/4/2015 11:00,0,217,0,101540,0.0034,274.3000183,-1.100000024,-3,0
12/4/2015 12:00,0,220.3000031,0,101610,0.0033,273.6000061,-1.300000072,-2.900000095,0
12/4/2015 13:00,0,220.1999969,111,101730,0.0035,274.1000061,-1.5,-3.200000048,0
12/4/2015 14:00,0,220.1999969,265,101770,0.0037,276.8999939,-1.600000024,-3.400000095,0
12/4/2015 15:00,0,239.6000061,424.2000122,101810,0.0035,279.5,-1.800000072,-3.700000048,0
12/4/2015 16:00,0,239.6000061,512.7000122,101760,0.0034,281.8999939,-2.400000095,-3.799999952,0
12/4/2015 17:00,0,239.6000061,537.1000366,101720,0.0033,283.7000122,-3,-3.799999952,0
12/4/2015 18:00,0,248,520.2999878,101680,0.0033,284.7000122,-3.600000143,-3.900000095,0
12/4/2015 19:00,0,248,455.6000061,101630,0.0032,285.5,-3.400000095,-3.700000048,0
12/4/2015 20:00,0,248.1000061,353.6000061,101600,0.0032,285.3000183,-3.200000048,-3.5,0
12/4/2015 21:00,0,238.3000031,155.4000092,101600,0.0032,285.5,-3,-3.299999952,0
12/4/2015 22:00,0,238.3000031,26.39999962,101680,0.0033,284.1000061,-2.100000143,-3.400000095,0
12/4/2015 23:00,0,238.3000031,0,101620,0.0037,280.3000183,-1.300000072,-3.5,0
12/5/2015 0:00,0,226.3000031,0,101720,0.0038,279,-0.400000006,-3.600000143,0
12/5/2015 1:00,0,226.3000031,0,101740,0.0037,277,-0.699999988,-3.400000095,0
12/5/2015 2:00,0,226.3000031,0,101830,0.0037,277,-1.100000024,-3.200000048,0
12/5/2015 3:00,0,222.6000061,0,101890,0.0037,276.6000061,-1.399999976,-3,0
12/5/2015 4:00,0,222.6000061,0,101860,0.0036,276,-1.399999976,-3,0
12/5/2015 5:00,0,222.6000061,0,101850,0.0036,274.2000122,-1.300000072,-3,0
12/5/2015 6:00,0,220.8000031,0,101800,0.0035,273.8999939,-1.300000072,-3,0
12/5/2015 7:00,0,220.8000031,0,101920,0.0035,273.8000183,-1.300000072,-3,0
12/5/2015 8:00,0,220.8000031,0,101980,0.0033,272.3999939,-1.200000048,-3.100000143,0
12/5/2015 9:00,0,221.6000061,0,101960,0.0033,272.6000061,-1.200000048,-3.100000143,0
12/5/2015 10:00,0,221.6000061,0,102000,0.0032,272.6000061,-1.300000072,-3,0
12/5/2015 11:00,0,221.6000061,0,102040,0.0033,273.3999939,-1.399999976,-2.900000095,0
12/5/2015 12:00,0,227.8000031,0,102080,0.0033,272.8000183,-1.5,-2.799999952,0
12/5/2015 13:00,0,227.8000031,106.9000015,102150,0.0036,273.7000122,-1.700000048,-3.200000048,0
12/5/2015 14:00,0,227.8000031,258.8000183,102200,0.0036,277.1000061,-1.899999976,-3.600000143,0
12/5/2015 15:00,0,253.8000031,414.5,102230,0.0036,279.8999939,-2.100000143,-3.900000095,0
12/5/2015 16:00,0,253.8000031,501.8000183,102180,0.0035,282.7000122,-2.5,-3.900000095,0
12/5/2015 17:00,0,253.8000031,526.1000366,102070,0.0034,284.2000122,-2.900000095,-3.900000095,0
12/5/2015 18:00,0,269,507.2000122,101960,0.0034,285.5,-3.299999952,-3.799999952,0
12/5/2015 19:00,0,269,444.3000183,101880,0.0035,286.7000122,-3,-3.700000048,0
12/5/2015 20:00,0,269,344.8999939,101860,0.0036,287.2000122,-2.600000143,-3.600000143,0
12/5/2015 21:00,0,261.2000122,149,101890,0.0035,286.3999939,-2.299999952,-3.5,0
12/5/2015 22:00,0,261.3000183,25.20000076,101950,0.0037,285.2000122,-2.200000048,-3.299999952,0
12/5/2015 23:00,0,261.3000183,0,101960,0.004,282.3999939,-2.200000048,-3.100000143,0
12/6/2015 0:00,0,250.1999969,0,101960,0.0038,281,-2.200000048,-2.900000095,0
12/6/2015 1:00,0,250.1999969,0,102030,0.0038,280.5,-2.200000048,-2.900000095,0
12/6/2015 2:00,0,250.1999969,0,102060,0.0039,279.8000183,-2.200000048,-3,0
12/6/2015 3:00,0,251.1999969,0,102000,0.0039,278.8000183,-2.200000048,-3,0
12/6/2015 4:00,0,251.1999969,0,102010,0.0038,277.3000183,-2.200000048,-2.799999952,0
12/6/2015 5:00,0,251.1999969,0,102030,0.0038,277.3999939,-2.200000048,-2.700000048,0
12/6/2015 6:00,0,267.7000122,0,101930,0.0039,277.5,-2.200000048,-2.600000143,0
12/6/2015 7:00,0,267.7000122,0,101950,0.0038,277.2000122,-2,-2.700000048,0
12/6/2015 8:00,0,267.7000122,0,101890,0.0039,276.8000183,-1.800000072,-2.799999952,0
12/6/2015 9:00,0,296.3999939,0,101850,0.0039,276.3999939,-1.600000024,-2.799999952,0
12/6/2015 10:00,0,296.3999939,0,101860,0.0038,275.7000122,-1.5,-2.600000143,0
12/6/2015 11:00,0,296.3999939,0,101860,0.0038,274.8000183,-1.5,-2.400000095,0
12/6/2015 12:00,0,272.8999939,0,101870,0.0037,274.8000183,-1.5,-2.200000048,0
12/6/2015 13:00,0,272.8999939,102.2000046,101920,0.0039,275.3000183,-1.600000024,-2.400000095,0
12/6/2015 14:00,0,272.8000183,250.9000092,101900,0.0042,278.8000183,-1.600000024,-2.5,0
12/6/2015 15:00,0,279.3000183,403,101840,0.0044,282,-1.700000048,-2.600000143,0
12/6/2015 16:00,0,279.3000183,488.5,101810,0.0041,284.3000183,-1.800000072,-2.200000048,0
12/6/2015 17:00,0,279.3000183,512.6000366,101680,0.004,285.8999939,-2,-1.700000048,0
12/6/2015 18:00,0,296.8999939,495.6000061,101510,0.0037,287.8999939,-2.200000048,-1.300000072,0
