time,APCP_surface,RAINRATE,T2D,Q2D,U2D,V2D,PSFC,SWDOWN,LWDOWN
1/1/2016 0:00,0,0,276.754,0.003584,4.5918,-1.589,100126.04,0,257.282
1/1/2016 1:00,0,0,276.732,0.003538,4.8652,-1.7766,100200.44,0,259.116
1/1/2016 2:00,0,0,276.04,0.00339,5.1402,-1.9602,100183.68,0,257.838
1/1/2016 3:00,0,0,275.93,0.003282,5.4052,-2.1462,100122.9,0,264.782
1/1/2016 4:00,0,0,275.67,0.003172,5.0956,-1.9084,100181.38,0,264.632
1/1/2016 5:00,0,0,275.36,0.003132,4.7776,-1.6692,100145.86,0,264.668
1/1/2016 6:00,0,0,275.112,0.003072,4.4636,-1.432,100017.6,0,253.394
1/1/2016 7:00,0,0,274.86,0.003076,4.2808,-1.3548,100049.96,0,253.608
1/1/2016 8:00,0,0,274.674,0.003022,4.1022,-1.2786,100082.98,0,253.73
1/1/2016 9:00,0,0,274.49,0.00303,3.9292,-1.199,99952.56,0,271.424
1/1/2016 10:00,0,0,274.522,0.003088,4.571,-1.1796,100027.64,0,271.426
1/1/2016 11:00,0,0,274.3,0.00307,5.2134,-1.1614,100009.16,0,269.916
1/1/2016 12:00,0,0,273.714,0.00308,5.8556,-1.1382,99975.1,0,273.952
1/1/2016 13:00,0,0,273.928,0.003152,6.119,-1.2088,100056.36,63.272,272.974
1/1/2016 14:00,0,0,274.648,0.003266,6.378,-1.2806,100116.34,146.112,274.294
1/1/2016 15:00,0,0,275.556,0.003426,6.6328,-1.3524,99966.02,257.526,277.44
1/1/2016 16:00,0,0,276.33,0.003384,6.4858,-0.9472,99954.18,310.456,278.616
1/1/2016 17:00,0,0,276.97,0.00342,6.3354,-0.5456,99841.6,331.806,279.596
1/1/2016 18:00,0,0,276.836,0.003324,6.1878,-0.1454,99728.54,255.986,288.276
1/1/2016 19:00,0,0,276.564,0.003184,6.2128,0.145,99731.46,202.956,286.652
1/1/2016 20:00,0,0,276.418,0.003164,6.2436,0.4294,99707.74,130.32,286.296
1/1/2016 21:00,0,0,276.158,0.003118,6.274,0.7186,99638.7,22.584,288.504
1/1/2016 22:00,0,0,275.502,0.003114,6.088,0.7132,99701.58,0,286.65
1/1/2016 23:00,0.4031712,0.000111992,275.074,0.003128,5.9028,0.7088,99730.5,0,285.84
1/2/2016 0:00,0,0,274.604,0.003092,5.7166,0.7032,99736.04,0,269.38
1/2/2016 1:00,0,0,273.872,0.00296,5.942,-0.205,99779.78,0,270.182
1/2/2016 2:00,0,0,273.242,0.002964,6.1624,-1.1128,99821.12,0,272.332
1/2/2016 3:00,0,0,272.586,0.002886,6.3874,-2.0164,99761.64,0,243.756
1/2/2016 4:00,0,0,272.208,0.00284,6.2074,-2.1238,99827.34,0,245.022
1/2/2016 5:00,0,0,271.87,0.00267,6.031,-2.223,99825.4,0,245.71
1/2/2016 6:00,0,0,271.614,0.00254,5.8522,-2.327,99781.1,0,223.36
1/2/2016 7:00,0,0,271.47,0.002472,5.8188,-2.0888,99935.94,0,223.966
1/2/2016 8:00,0,0,271.08,0.002436,5.7782,-1.8548,99907.82,0,223.918
1/2/2016 9:00,0,0,271.214,0.002508,5.7446,-1.613,99808.12,0,207.796
1/2/2016 10:00,0,0,271.386,0.002502,5.6116,-1.3038,99929.86,0,208.58
1/2/2016 11:00,0,0,271.256,0.00245,5.4834,-0.9948,99957.68,0,208.214
1/2/2016 12:00,0,0,270.872,0.002412,5.3446,-0.6954,99931.48,0,216.67
1/2/2016 13:00,0,0,270.738,0.00246,5.656,-0.9862,100004.18,87.21,212.23
1/2/2016 14:00,0,0,271.852,0.00247,5.962,-1.2808,100047.3,201.704,211.628
1/2/2016 15:00,0,0,273.148,0.002492,6.2686,-1.5714,100014.44,291.758,246.85
1/2/2016 16:00,0,0,273.914,0.002398,6.359,-1.0194,100036.08,351.91,247.782
1/2/2016 17:00,0,0,274.598,0.002566,6.4454,-0.4598,99921.16,376.496,250.162
1/2/2016 18:00,0,0,275.12,0.002468,6.5316,0.0962,99791.88,320.394,266.978
1/2/2016 19:00,0,0,275.494,0.002358,6.2738,0.418,99871.84,254.502,266.44
1/2/2016 20:00,0,0,275.582,0.002312,6.0128,0.7402,99749.72,164.104,265.248
1/2/2016 21:00,0,0,275.056,0.00234,5.753,1.0584,99724.72,32.692,259.598
1/2/2016 22:00,0,0,273.886,0.002328,5.3684,1.0808,99887.4,0,256.016
1/2/2016 23:00,0,0,272.384,0.002542,4.9784,1.1032,99850.36,0,252.81
1/3/2016 0:00,0,0,271.616,0.002484,4.5976,1.126,99870.24,0,264.644
1/3/2016 1:00,0,0,272.548,0.0026,4.8584,1.3892,99961.74,0,269.706
1/3/2016 2:00,0,0,272.882,0.002604,5.1126,1.6528,99905.22,0,271.558
1/3/2016 3:00,0,0,273.016,0.002644,5.3708,1.9124,99743.28,0,268.274
1/3/2016 4:00,0,0,272.464,0.002568,5.4242,1.936,99756.32,0,265.212
1/3/2016 5:00,0,0,272.054,0.002464,5.478,1.9556,99688.98,0,262.484
1/3/2016 6:00,0,0,271.518,0.002524,5.5322,1.9796,99618.3,0,236.198
1/3/2016 7:00,0,0,271.034,0.002432,5.5774,2.1492,99688.88,0,234.78
1/3/2016 8:00,0,0,270.76,0.002404,5.623,2.3236,99553.52,0,234.518
1/3/2016 9:00,0,0,270.904,0.002422,5.6646,2.4936,99404.82,0,211.586
1/3/2016 10:00,0,0,271.042,0.002496,5.3994,2.944,99424.48,0,212.214
1/3/2016 11:00,0,0,271.558,0.002566,5.131,3.3856,99397.38,0,214.022
1/3/2016 12:00,0,0,272.072,0.002712,4.8668,3.831,99319.06,0,225.46
1/3/2016 13:00,0,0,272.244,0.002736,5.7354,4.4718,99423.16,91.016,221.886
1/3/2016 14:00,0,0,274.59,0.00295,6.5982,5.1082,99414.3,210.758,226.656
1/3/2016 15:00,0,0,276.428,0.00302,7.4666,5.745,99291.26,335.804,226.656
1/3/2016 16:00,0,0,277.454,0.002838,7.6722,4.6332,99322.12,405.296,227.114
1/3/2016 17:00,0,0,278.04,0.002832,7.8816,3.5162,99224.66,433.814,227.024
1/3/2016 18:00,0,0,277.864,0.002816,8.0884,2.4002,99154.94,368.084,226.204
1/3/2016 19:00,0,0,277.368,0.00292,7.107,1.2442,99237.94,292.928,227.946
1/3/2016 20:00,0,0,277.442,0.002966,6.1318,0.0974,99232.7,189.714,231.312
1/3/2016 21:00,0,0,276.832,0.002846,5.1534,-1.0572,99197.86,29.658,230.052
1/3/2016 22:00,0,0,275.812,0.002858,4.9402,-1.0808,99319.92,0,229.584
1/3/2016 23:00,0,0,274.906,0.002894,4.7292,-1.1048,99374.84,0,229.644
1/4/2016 0:00,0,0,273.78,0.002828,4.5114,-1.129,99420.08,0,219.83
1/4/2016 1:00,0,0,272.73,0.002828,4.3516,-1.367,99480.8,0,218.51
1/4/2016 2:00,0,0,272.184,0.00284,4.1876,-1.6014,99510.38,0,218.898
1/4/2016 3:00,0,0,272.31,0.002882,4.0288,-1.8414,99408.64,0,234.894
1/4/2016 4:00,0,0,271.938,0.002796,3.633,-2.0332,99476,0,232.64
1/4/2016 5:00,0,0,271.094,0.002706,3.2354,-2.2204,99457.06,0,228.722
1/4/2016 6:00,0,0,270.49,0.002638,2.8394,-2.417,99407.66,0,251.35
1/4/2016 7:00,0,0,269.898,0.002572,2.3436,-2.5596,99522.06,0,247.768
1/4/2016 8:00,0,0,269.71,0.002604,1.8474,-2.706,99534.42,0,246.306
1/4/2016 9:00,0,0,270.458,0.0027,1.3524,-2.8452,99470.22,0,265.664
1/4/2016 10:00,0,0,270.912,0.002478,1.1358,-3.391,99575.08,0,266.67
1/4/2016 11:00,0,0,270.736,0.002342,0.9228,-3.9344,99703.7,0,265.658
1/4/2016 12:00,0,0,270.514,0.002292,0.7106,-4.477,99748.52,0,253.37
1/4/2016 13:00,0,0,270.716,0.002384,0.7168,-5.092,99855.28,57.524,256.902
1/4/2016 14:00,0.1800648,0.000050018,270.658,0.002362,0.7208,-5.707,99912.58,133.31,258.766
1/4/2016 15:00,0.3648816,0.000101356,270.196,0.002404,0.7264,-6.3176,99891.88,239.498,241.926
1/4/2016 16:00,0.0740304,0.000020564,269.616,0.002452,0.7044,-6.5398,100007.52,289.308,241.314
1/4/2016 17:00,0.0256824,0.000007134,269.582,0.002118,0.6838,-6.754,99989.36,309.72,239.874
1/4/2016 18:00,0,0,269.508,0.001836,0.6704,-6.977,99927.06,339.816,210.88
1/4/2016 19:00,0,0,269.514,0.001646,0.661,-6.9418,100023.96,270.938,211.3
1/4/2016 20:00,0,0,269.29,0.001542,0.6496,-6.9036,100139.2,176.244,211.652
1/4/2016 21:00,0,0,268.548,0.00157,0.6442,-6.8696,100154.64,35.678,200.376
1/4/2016 22:00,0,0,267.658,0.0015,0.305,-7.2438,100347.92,0,199.842
1/4/2016 23:00,0.018072,0.00000502,266.918,0.001342,-0.0294,-7.6144,100465.52,0,198.756
1/5/2016 0:00,0,0,265.488,0.001176,-0.3642,-7.9924,100546.5,0,176.488
1/5/2016 1:00,0,0,264.324,0.001086,-0.4342,-8.2474,100753.54,0,175.196
1/5/2016 2:00,0,0,263.186,0.001064,-0.5076,-8.5052,100844.18,0,174.696
1/5/2016 3:00,0,0,262.514,0.001084,-0.5776,-8.7678,100877.08,0,177.948
1/5/2016 4:00,0,0,262.08,0.00104,-0.5258,-9.0328,101013.12,0,178.062
1/5/2016 5:00,0,0,261.252,0.000936,-0.475,-9.307,101091.58,0,176.278
1/5/2016 6:00,0,0,260.334,0.000896,-0.4228,-9.5764,101110.88,0,158.598
1/5/2016 7:00,0,0,259.8,0.00087,-0.242,-9.172,101326.82,0,159.386
1/5/2016 8:00,0,0,259.422,0.00086,-0.058,-8.7682,101377.28,0,160.822
1/5/2016 9:00,0,0,258.988,0.000846,0.127,-8.3598,101366.38,0,146.53
1/5/2016 10:00,0,0,258.994,0.00081,0.3958,-7.9634,101480.06,0,147.396
1/5/2016 11:00,0,0,259.028,0.000812,0.6642,-7.5676,101547.06,0,148.728
1/5/2016 12:00,0,0,258.854,0.000804,0.93,-7.176,101573.24,0,149.546
1/5/2016 13:00,0,0,259.218,0.00084,0.477,-6.8132,101758.16,97.06,149.11
1/5/2016 14:00,0,0,261.05,0.000872,0.0212,-6.4506,101794.16,224.836,152.036
1/5/2016 15:00,0,0,263.266,0.000906,-0.4356,-6.0884,101808.96,354.262,165.63
1/5/2016 16:00,0,0,265.208,0.000932,-0.1468,-5.654,101867.94,428.03,167.314
1/5/2016 17:00,0,0,267.14,0.000944,0.1406,-5.224,101771.74,458.766,168.786
1/5/2016 18:00,0,0,268.342,0.001068,0.4286,-4.7976,101665.26,394.882,177.772
1/5/2016 19:00,0,0,269.078,0.000868,0.849,-4.041,101765.02,315.396,175.422
1/5/2016 20:00,0,0,269.576,0.000918,1.2678,-3.2888,101836.66,206.09,175.866
1/5/2016 21:00,0,0,269.298,0.000964,1.6876,-2.5408,101813.36,37.246,176.806
1/5/2016 22:00,0,0,267.886,0.001058,1.8084,-1.861,101944.02,0,174.19
1/5/2016 23:00,0,0,266.29,0.00107,1.9262,-1.1826,101941.1,0,170.176
1/6/2016 0:00,0,0,264.77,0.001074,2.0492,-0.502,101887.74,0,165.968
1/6/2016 1:00,0,0,264.428,0.001144,2.1738,-0.5642,101983.34,0,166.744
1/6/2016 2:00,0,0,263.768,0.001142,2.3026,-0.6324,101980.86,0,165.93
