time,APCP_surface,RAINRATE,T2D,Q2D,U2D,V2D,PSFC,SWDOWN,LWDOWN
5/15/2017 0:00,0,0,284.078,0.006616,6.0804,-1.967,98376.98,0,318.822
5/15/2017 1:00,0,0,283.18,0.00665,6.0304,-2.074,98378.6,0,317.996
5/15/2017 2:00,0,0,282.44,0.006614,5.9856,-2.1828,98380.28,0,317.736
5/15/2017 3:00,0,0,281.662,0.006476,5.9402,-2.2888,98332.86,0,321.594
5/15/2017 4:00,0,0,281.702,0.00653,6.3688,-2.5458,98336.62,0,322.748
5/15/2017 5:00,0,0,282.372,0.006624,6.7974,-2.8018,98269.3,0,327.054
5/15/2017 6:00,0.0014904,0.000000414,282.168,0.006632,7.226,-3.0574,98207.52,0,351.57
5/15/2017 7:00,0.0430992,0.000011972,282.192,0.006684,7.3778,-2.6776,98222.72,0,351.476
5/15/2017 8:00,0.102168,0.00002838,281.854,0.00646,7.5344,-2.2978,98242.48,0,348.57
5/15/2017 9:00,0.8654472,0.000240402,281.758,0.006582,7.6906,-1.9218,98241.16,0,346.562
5/15/2017 10:00,0,0,281.74,0.006456,7.4788,-2.6486,98343.02,21.476,343.304
5/15/2017 11:00,0.3695472,0.000102652,281.564,0.006632,7.2666,-3.3802,98389.86,72.516,340.314
5/15/2017 12:00,0.5456736,0.000151576,282.056,0.006628,7.0548,-4.1098,98399.74,143.598,344.322
5/15/2017 13:00,2.0116656,0.000558796,282.128,0.006814,7.0928,-4.1134,98510.22,207.342,342.79
5/15/2017 14:00,1.0902672,0.000302852,282.772,0.007106,7.1286,-4.108,98527.38,267.18,344.448
5/15/2017 15:00,0.3381984,0.000093944,283.138,0.00738,7.1664,-4.112,98523.32,305.752,348.05
5/15/2017 16:00,0.0023976,0.000000666,284.784,0.00752,6.6822,-4.7052,98542.8,337.304,353.83
5/15/2017 17:00,0,0,285.878,0.007182,6.1938,-5.3032,98557.94,339.154,355.31
5/15/2017 18:00,0,0,287.612,0.007074,5.7088,-5.8976,98597.84,308.96,368.24
5/15/2017 19:00,0,0,287.818,0.006628,5.2402,-6.2278,98611.1,282.994,365.494
5/15/2017 20:00,0,0,289.212,0.006608,4.7762,-6.5586,98693.84,235.974,370.594
5/15/2017 21:00,0,0,289.114,0.006566,4.3158,-6.891,98737.2,218.266,363.276
5/15/2017 22:00,0,0,289.002,0.006418,3.9998,-6.4266,98864.38,146.342,363.864
5/15/2017 23:00,0,0,289.174,0.006408,3.6868,-5.964,99020.86,69.082,366.482
5/16/2017 0:00,0,0,287.86,0.006738,3.3742,-5.5006,99038.74,0,353.304
5/16/2017 1:00,0,0,287.232,0.006738,3.3056,-4.7444,99194.5,0,352.206
5/16/2017 2:00,0,0,286.268,0.006788,3.2372,-3.9928,99302.46,0,349.568
5/16/2017 3:00,0,0,284.772,0.006732,3.168,-3.2386,99260.84,0,305.428
5/16/2017 4:00,0,0,284.696,0.006772,3.3384,-2.6194,99351.06,0,309.042
5/16/2017 5:00,0,0,284.296,0.00669,3.5124,-1.9998,99374.32,0,310.868
5/16/2017 6:00,0,0,284.308,0.00667,3.6864,-1.3772,99356.24,0,285.058
5/16/2017 7:00,0,0,284.034,0.006592,3.806,-1.3462,99451.66,0,285.114
5/16/2017 8:00,0,0,283.646,0.00659,3.928,-1.3148,99494.84,0,284.892
5/16/2017 9:00,0,0,283.278,0.006416,4.0556,-1.2924,99557.66,0,285.754
5/16/2017 10:00,0,0,282.876,0.006358,3.9264,-1.5112,99669.78,62.518,274.954
5/16/2017 11:00,0,0,283.846,0.006694,3.7972,-1.7276,99678.52,205.738,271.146
5/16/2017 12:00,0,0,286.59,0.007256,3.6712,-1.9468,99708.78,392.108,293.278
5/16/2017 13:00,0,0,289.33,0.007266,3.6502,-2.3798,99768.24,565.18,295.98
5/16/2017 14:00,0,0,291.462,0.007348,3.6282,-2.8178,99789.84,727.608,296.288
5/16/2017 15:00,0,0,293.058,0.007336,3.6058,-3.2554,99730.22,804.79,313.414
5/16/2017 16:00,0,0,294.5,0.00724,4.5326,-2.2568,99792.9,887.55,316.362
5/16/2017 17:00,0,0,296.244,0.00702,5.4604,-1.2544,99777.3,892.484,320.31
