time,APCP_surface,RAINRATE,T2D,Q2D,U2D,V2D,PSFC,SWDOWN,LWDOWN
10/1/2015 0:00,10,0,294.058,0.01405,2.8084,-4.0768,99421.66,0,399.016
10/1/2015 1:00,9,0,292.598,0.012694,1.9296,-5.1904,99529.48,0,398.976
10/1/2015 2:00,8,0,291.122,0.011326,1.0514,-6.3004,99636.54,0,398.854
10/1/2015 3:00,7,0,289.69,0.009996,0.1772,-7.4148,99743.12,0,379.248
10/1/2015 4:00,6,0,288.924,0.009542,-0.3594,-7.327,99743.42,0,379.064
10/1/2015 5:00,5,0,288.136,0.009076,-0.8968,-7.243,99742.24,0,378.732
10/1/2015 6:00,4,0,287.372,0.008628,-1.4418,-7.1502,99743.22,0,364.672
10/1/2015 7:00,3,0,286.708,0.008288,-1.6804,-6.8198,99782,0,364.648
10/1/2015 8:00,2,0,286.03,0.007936,-1.9266,-6.486,99821.34,0,364.526
10/1/2015 9:00,1,0,285.37,0.007596,-2.1682,-6.1514,99860.16,0,357.778
10/1/2015 10:00,0,0,285.332,0.00753,-2.2906,-6.4236,99916.42,0,357.478
10/1/2015 11:00,0,0,285.288,0.007472,-2.4128,-6.7044,99973.8,17.646,357.186
10/1/2015 12:00,0,0,285.246,0.007408,-2.5358,-6.9784,100029.98,120.954,358.604
10/1/2015 13:00,0,0,286.2,0.007692,-3.1956,-6.9836,100075.46,211.822,360.09
10/1/2015 14:00,0,0,287.18,0.008,-3.8566,-6.9838,100121.42,283.93,361.726
10/1/2015 15:00,0,0,288.132,0.008296,-4.5218,-6.9878,100166.04,257.206,377.648
10/1/2015 16:00,0,0,288.766,0.008768,-4.6902,-6.6258,100176.22,283.608,379.2
10/1/2015 17:00,0,0,289.418,0.009266,-4.8622,-6.2648,100185.3,286.626,380.844
10/1/2015 18:00,0,0,290.052,0.009764,-5.0348,-5.9068,100195.2,233.822,378.706
10/1/2015 19:00,0,0,289.626,0.0096,-4.789,-5.7326,100179.46,200.958,378.068
10/1/2015 20:00,0,0,289.188,0.009424,-4.5436,-5.5672,100162.48,156.67,377.344
10/1/2015 21:00,0.0544536,0.000015126,288.764,0.009262,-4.2986,-5.394,100146.6,87.954,377.434
10/1/2015 22:00,0.3505752,0.000097382,288.346,0.009184,-4.1804,-5.5606,100248.24,28.424,376.366
10/1/2015 23:00,0,0,287.912,0.0091,-4.0624,-5.7202,100350.7,0,375.254
10/2/2015 0:00,0.0401472,0.000011152,287.492,0.009022,-3.9454,-5.8874,100453.22,0,370.342
10/2/2015 1:00,1.182132,0.00032837,286.492,0.00859,-4.492,-6.2032,100465.66,0,368.28
10/2/2015 2:00,0.241092,0.00006697,285.46,0.008154,-5.0338,-6.5184,100479.64,0,366.064
10/2/2015 3:00,0.0587448,0.000016318,284.46,0.007748,-5.5796,-6.8346,100494.16,0,360.614
10/2/2015 4:00,0,0,284.126,0.007538,-5.3664,-7.007,100480.38,0,359.64
10/2/2015 5:00,0.0827712,0.000022992,283.788,0.007322,-5.158,-7.1886,100468.06,0,358.604
10/2/2015 6:00,0.0696168,0.000019338,283.452,0.007116,-4.9414,-7.3654,100456.54,0,355.106
10/2/2015 7:00,0,0,283.126,0.00693,-4.8606,-7.216,100433.16,0,354.722
10/2/2015 8:00,0,0,282.786,0.00674,-4.7716,-7.0706,100410.82,0,354.276
10/2/2015 9:00,0,0,282.462,0.006554,-4.6874,-6.9166,100389.5,0,354.496
10/2/2015 10:00,0,0,282.424,0.0065,-4.6734,-6.9538,100416.92,0,354.318
10/2/2015 11:00,0,0,282.392,0.006448,-4.6682,-6.9868,100444.68,8.188,354.144
10/2/2015 12:00,0,0,282.356,0.006394,-4.6542,-7.0226,100473.1,57.082,352.748
10/2/2015 13:00,0,0,282.854,0.006592,-4.7286,-7.2068,100537.42,100.608,355.434
10/2/2015 14:00,0.1283544,0.000035654,283.364,0.006802,-4.7994,-7.39,100600.62,135.16,358.24
10/2/2015 15:00,0.9724968,0.000270138,283.86,0.007012,-4.8696,-7.5744,100664.14,161.102,362.464
10/2/2015 16:00,0.8127648,0.000225768,284.158,0.00716,-4.7296,-7.2984,100638.88,177.692,363.044
10/2/2015 17:00,0.5828688,0.000161908,284.464,0.007318,-4.5892,-7.0238,100615.2,179.576,363.652
10/2/2015 18:00,0.7493328,0.000208148,284.762,0.007474,-4.4528,-6.749,100589.9,156.78,364.164
10/2/2015 19:00,1.5092928,0.000419248,284.586,0.007516,-4.5962,-6.9088,100611.28,134.504,363.876
10/2/2015 20:00,0.6108624,0.000169684,284.408,0.007556,-4.7346,-7.072,100632.72,104.492,363.514
10/2/2015 21:00,0.286596,0.00007961,284.232,0.007604,-4.8754,-7.2308,100654.16,55.08,361.99
10/2/2015 22:00,0.5191272,0.000144202,283.82,0.00735,-4.9312,-7.3754,100684.54,17.026,360.652
10/2/2015 23:00,0.2428488,0.000067458,283.394,0.007096,-4.9862,-7.5242,100713.02,0,359.236
10/3/2015 0:00,0.2364552,0.000065682,282.98,0.006852,-5.042,-7.6778,100743.06,0,353.45
10/3/2015 1:00,0.0241128,0.000006698,282.604,0.006702,-5.2646,-7.4706,100744.72,0,353.516
10/3/2015 2:00,0.1226664,0.000034074,282.218,0.00654,-5.4882,-7.2626,100747.64,0,353.516
10/3/2015 3:00,0.1965456,0.000054596,281.85,0.006388,-5.7154,-7.0584,100749.24,0,353.954
10/3/2015 4:00,0.2036664,0.000056574,281.932,0.006432,-5.487,-7.3158,100762.52,0,353.8
10/3/2015 5:00,0.0648072,0.000018002,282.018,0.00648,-5.2578,-7.5802,100776.64,0,353.702
10/3/2015 6:00,0,0,282.106,0.006524,-5.034,-7.8378,100789.28,0,353.058
10/3/2015 7:00,0.0488088,0.000013558,282.144,0.00656,-5.5852,-7.472,100772.92,0,352.83
10/3/2015 8:00,0.0490032,0.000013612,282.18,0.0066,-6.1464,-7.112,100757.24,0,352.606
10/3/2015 9:00,0.0000072,0.000000002,282.22,0.006634,-6.7028,-6.7456,100741.18,0,353.43
10/3/2015 10:00,0.2504376,0.000069566,282.228,0.006628,-6.716,-6.6436,100776.4,0,353.1
10/3/2015 11:00,0.0817776,0.000022716,282.228,0.006618,-6.7248,-6.5358,100811.88,4.392,352.75
10/3/2015 12:00,0.0571968,0.000015888,282.232,0.00661,-6.7386,-6.4282,100848.08,37.168,350.132
10/3/2015 13:00,0.0627696,0.000017436,282.06,0.006476,-7.055,-6.53,100874.72,65.932,349.456
10/3/2015 14:00,0.0627696,0.000017436,281.882,0.006342,-7.3764,-6.636,100900.66,88.726,348.784
10/3/2015 15:00,0,0,281.712,0.006212,-7.697,-6.7402,100928.12,106.794,348.346
10/3/2015 16:00,0,0,281.704,0.006122,-7.5712,-6.8806,100934.8,117.798,347.468
