Hours,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,Average
768,53.33268873,39.34698245,38.74294933,38.63677373,38.06086354,56.5317993,46.25384465,36.61190844,40.47127853,42.64043668,40.28417998,39.31692018,49.77426964,38.60746542,37.51620472,41.65728566,39.83202714,41.5845399,52.88646834,44.59989975,42.26657631,49.95018197,44.16399924,42.82551482,38.77257048,40.82165561,42.2786252,49.95842069,39.04061504,39.04576038,42.30739088,40.95639124,42.41183158,45.5101278,42.63556344,38.36757313,40.51432398,40.58521821,39.80175058,46.70438356,39.02075143,41.83027176,46.11239774,41.07714277,39.7020051,43.00175697,40.60728144,37.59946983,49.32622073,42.11393929,39.0279849,41.58142182,37.19336328,52.88821358,38.68270653,48.92487543,47.11921387,39.88528787,42.87046681,36.43487337,38.97401015,39.90140203,50.82026409,41.46741958,39.33734482,42.33478509,50.51443796,39.91398461,44.21779149,40.86781257,41.83162446,39.88321114,40.4766635,39.9165075,52.37802875,45.50267156,37.61716514,42.59926469,49.04313274,58.24093444,46.40362999,38.72444586,50.51644771,42.27235023,40.13640129,43.71818905,48.76523591,38.06593809,36.38155642,39.56855014,40.81311651,39.80383622,40.10133498,39.24342948,37.40193868,39.47278182,40.7545174,39.67445485,36.4917168,48.59264429,42.53347877
769,45.78030841,41.74124419,36.41818465,38.04260515,49.11055392,47.28788223,43.02990886,38.4685135,37.47473588,40.55403603,52.9896955,38.0689388,45.83282945,38.78113654,39.38085671,39.69172303,38.14675653,38.98166474,45.65779028,41.63791665,39.9697743,46.09115389,41.16121767,37.82123167,37.05750948,39.52279809,39.45132253,43.40832018,41.33061752,41.96450662,45.03539727,41.3163958,51.2538161,39.91206689,45.28603707,40.18488954,41.18434894,38.33443702,38.64859703,42.76361936,40.34470407,39.99149886,44.26636454,39.41139029,39.88005132,41.06433447,38.91377401,38.44872391,45.67359532,42.85630527,39.104749,39.52431772,47.49111461,45.78346529,39.95901766,45.52505421,44.22228537,41.06193534,42.58553361,39.91586069,42.02651734,39.50463704,44.66773689,39.82703166,48.53963726,42.17460929,44.18737994,40.42397058,40.1030228,37.41409687,43.62749337,40.54222419,39.6550491,38.5254956,47.13310087,44.76973956,47.74600287,39.71008903,43.62068575,49.14166296,45.71015309,40.11777335,45.90506466,40.45938638,39.2231486,40.95690583,45.02593425,39.63355245,39.09244667,41.03876359,42.71405706,49.99826064,36.50694479,37.61317612,39.13073301,38.56224611,41.44251548,42.02301506,48.03965026,44.99522861,41.96328553
770,52.25387896,51.28097054,47.09856054,47.6204655,57.88301854,53.21769308,52.41933076,48.28779635,47.57226469,51.91811274,59.27391127,49.32518298,53.54814162,48.05447155,49.54109716,51.52867915,49.48711075,49.40411921,54.43258528,51.75139968,51.12783143,53.58589962,51.5446815,49.07492789,49.09484574,48.88101295,50.04400362,52.18031049,49.96089696,52.86216741,52.40820948,50.35094632,57.40686119,50.21957742,55.02672894,51.08397376,51.56660774,47.78476564,49.42001228,53.65632755,49.69336572,48.93886739,53.39160463,49.49816272,49.38154561,52.23799686,49.33213683,48.46554865,53.46410476,53.75944199,49.32525211,50.92839091,56.54036995,54.50552028,50.60891279,53.46743562,54.13384436,52.29505935,50.96797259,51.63527687,52.10593069,48.413565,52.40545489,50.53129147,56.99707616,50.86857269,53.0866356,50.19233521,49.33403558,48.9212015,53.75223045,51.43977915,50.11900194,50.30571429,55.06345896,52.78607706,57.16536929,49.62916457,52.79861027,55.03594819,52.82568013,49.84879383,53.38346437,51.4326356,50.07557203,50.70862508,54.35822658,50.81290626,49.98985093,50.79869384,53.16166858,57.1338181,46.78205975,48.60058072,49.43642037,50.31699678,50.91929393,50.70528544,56.60704928,53.06536728,51.5766463
771,56.95369618,60.60020187,56.008246,57.35601734,64.67136573,58.79458041,58.09459552,58.02121024,56.75412102,60.0378244,65.5178177,58.72570595,59.92518648,57.64576486,57.3582941,58.43269274,57.04455636,58.87670098,60.94266927,59.96683988,58.68481129,58.98223123,60.0208634,57.61531088,58.72429635,56.36694458,56.91923483,58.0899418,57.39550228,59.92446368,58.2576683,57.47439585,63.29642064,58.47633469,61.67628203,57.48067165,60.08197793,56.2444332,57.0289561,59.50580169,58.09798505,57.95621697,61.39922216,57.03697988,56.22080563,59.44122828,56.20283236,55.9240513,58.47543768,61.7678071,56.54507626,58.29387873,62.05744793,59.91627568,59.05796259,60.9876123,60.08461627,60.19769611,59.98757211,59.8102795,58.53826881,57.99570496,57.77001919,57.19613521,61.86007262,58.48003523,59.2864872,58.86263289,57.54217932,56.95661133,59.53791485,59.10744001,57.29252098,57.53001437,60.41357641,60.00895068,63.25636949,58.91438029,60.07860954,60.88796265,58.9936857,57.36856474,60.07118948,59.96272498,59.39861882,58.98765831,60.34224042,57.91641635,58.18180351,58.52290709,60.54837239,62.40589082,56.37085095,57.20493577,58.86152479,58.66049204,59.84914809,57.17993012,62.47522164,59.51008047,58.97763756
772,61.34151512,66.38518298,62.58653052,63.93565203,66.69538203,64.09935442,64.70526224,62.50145595,64.5233864,65.72074147,68.73821982,63.65004751,63.82233115,62.83169424,64.51006004,64.93219116,61.822578,63.89835131,65.61295332,63.9922987,63.20646253,63.1453345,66.57702873,63.24189279,64.84249916,62.17043144,62.44911994,64.42339364,64.03488032,66.14301245,64.98002099,63.99062783,67.79331841,64.219223,67.48533848,62.87925486,65.38780015,63.43771277,64.37016385,63.6819765,63.36032452,63.92350045,65.73310679,63.35193691,61.75231965,66.14497488,63.70090987,62.78094344,63.29224037,67.45842168,63.97085509,63.23863396,65.67607114,65.95882171,65.52306961,64.86052049,64.59852021,65.13273828,64.57817642,64.49559822,63.69927202,63.26185961,63.50700482,62.91521118,65.47013039,62.88213041,63.65336411,64.12548109,63.01036906,62.92117198,65.56561954,65.90956383,62.54717315,62.78615608,65.21686518,64.5461327,65.61539421,65.62059154,66.65931539,63.88799012,64.13620579,64.16117423,66.47596621,64.12610874,64.92131083,64.3147084,66.12902965,64.68248045,63.62077496,65.05871288,66.43827283,65.82546693,62.4219398,63.17650303,65.09708312,65.23673,64.64974425,63.17926479,65.82528941,65.49629235,64.4307022
773,41.79575166,69.07674569,67.44110944,67.99261488,68.13304509,68.24508726,68.08820972,67.2417031,67.11868395,69.88233655,71.1009063,66.74485856,65.9575604,67.93685379,69.13456567,67.80105362,65.70456168,68.01699494,67.98032475,66.82751208,65.70348278,65.55801893,68.19521771,66.06922854,68.85527515,67.47923538,65.96788377,68.66796118,68.07874657,68.9503751,67.48099724,68.65814448,71.0993521,69.08998483,68.96858947,67.55817604,69.14724734,66.90601232,66.82111884,67.0566441,67.14845779,66.88725693,68.2193174,67.3854709,66.31418664,69.32901486,67.59634473,66.58730415,67.99190416,69.7130902,68.56241817,66.99989751,69.35155933,68.37519247,69.10553662,67.48895963,67.58473437,67.79988138,67.01009923,68.69722607,66.86930684,67.55052077,67.90583693,66.44511535,68.76834552,65.89852717,66.64094447,66.10372475,65.74233398,67.64227166,69.4001908,69.99979314,66.43693128,66.43599359,67.82906202,67.97467411,68.0274751,69.55353267,70.35001987,65.87965199,67.48048526,68.62096857,69.96974844,67.96055369,66.79316697,68.77125276,67.76946295,67.18792106,66.04639993,69.41988214,70.21570575,69.15486255,66.6744746,67.95353783,68.35718233,69.51176895,68.86486545,67.73051595,69.04759221,67.0525133,67.62717136
774,26.07732634,71.45836547,70.51161332,70.35972073,68.11640519,69.0405641,70.91499355,69.94871764,69.04591605,71.16095582,70.27873956,67.86458819,67.91519687,69.13292548,70.18473293,68.46476841,66.89181414,70.01617082,70.27513499,67.19625729,68.36532866,66.48053186,68.92182618,68.1108341,69.78444767,70.39166725,69.4631349,69.59079733,69.28909699,69.04880932,69.72958559,71.40930332,71.39824148,70.9795578,71.44646261,70.3365766,70.87111662,68.71856886,68.04769027,68.44371165,68.05436941,69.89793615,69.48687207,68.24036355,68.18771061,70.69998637,68.46825174,69.69117907,70.3643467,69.57836913,71.38601094,69.2411861,69.22835538,69.81769773,69.28025187,67.91166786,68.6975476,68.42301478,68.54104879,70.18214164,68.01564301,69.14947162,68.97415193,69.23308775,69.47326746,67.61633991,70.00194471,68.05144393,68.04578318,69.99743804,70.93553363,72.10649417,67.43072224,68.02394144,69.16444646,70.84689317,69.10233208,70.30496621,72.52991055,68.80115988,70.24801393,70.9983975,71.96857709,70.38684514,69.59681585,70.94772537,70.06703096,70.19791738,68.85616561,71.90794502,71.2657578,69.10368628,68.02758961,69.1083603,69.5313242,69.53727921,69.6323131,70.29196148,69.26677467,69.90773582,69.09713691
775,14.25058333,72.70452722,71.46512379,70.68667739,68.05673716,71.10612795,70.03691872,70.59887918,71.03177582,72.82865877,69.27738665,69.88620987,69.23051194,69.70361701,69.91072224,70.47242513,67.44761457,70.72427795,71.94076726,68.65991098,70.00039052,67.94793603,69.93679708,70.00871977,70.29375381,72.40827147,70.55428305,70.79524779,69.50571119,69.71751702,70.86156619,72.31947669,72.72323443,71.31632072,71.65964548,71.72590755,70.12682853,70.10774127,70.16842205,68.72376598,70.21246148,72.12360983,70.0932916,69.49737513,68.49931737,71.49554224,69.72133419,71.01809057,71.00789185,70.59587135,71.85199772,70.71389102,70.21508308,70.05259924,70.07046981,68.84660943,69.16108054,70.15209523,68.37879911,69.4851846,68.54461352,70.27174829,69.30138642,70.77419361,70.62053904,68.28744663,71.09021682,70.06432159,68.71490239,72.1904472,72.25810998,72.8411109,69.83621807,69.54519348,70.94953745,71.55655371,68.48941335,70.91568553,72.34616035,70.30874244,69.6258574,70.85655988,70.91625504,72.34550339,70.00765795,72.52494594,71.86874048,70.55632739,69.6788858,71.79542109,70.07358085,69.71548679,70.85623063,70.57361643,71.11010549,69.55196195,70.71781146,70.02259235,69.97598773,70.95277531,69.86746429
776,6.922528051,71.7040526,71.67754251,70.97185496,69.01737859,70.87561485,71.56729193,71.78111602,72.09102934,72.19594681,68.74485669,71.44273304,69.43831032,70.68098013,70.52558112,69.67414441,69.78356439,71.71946779,70.65534983,70.10529016,69.36627757,68.53633137,70.06576214,69.39156095,70.73388748,71.80579723,71.52280718,70.3749737,70.27573606,69.60684897,70.26439431,72.26522904,71.59791476,70.53061404,71.91069112,72.53399859,69.43162556,70.8957828,69.80458578,68.74831878,69.56860372,72.79445201,69.26561723,70.35977939,69.23794485,70.51335469,69.37905734,72.14634569,71.57877222,69.91294903,72.17003402,69.8966281,70.56271469,69.10693862,69.24626543,68.74779389,70.05871737,70.28802408,70.54660717,69.62057488,69.62900057,70.1580171,70.04772559,70.83090006,70.52609968,70.08403712,70.45288654,71.20988032,69.33031232,72.02840575,72.56373664,72.03750724,69.67408506,69.20093437,69.68577065,72.42551579,70.560322,71.68282992,72.31214942,71.44294925,69.33433286,70.35532616,69.8774274,72.46466661,70.8883225,72.55946092,71.96765985,69.91766286,71.42085436,72.82578223,71.12343448,70.664611,70.59831273,69.84754637,72.2592692,69.31333094,72.05162558,69.66562217,69.36899801,70.41827025,69.99044527
777,3.340800188,70.41482025,71.35748776,70.46679411,69.71885544,71.22979259,71.37185241,70.88603041,71.81451248,72.75897773,69.93116801,70.64818079,70.27898712,70.0479955,70.49485101,70.88946578,70.96886212,72.21845035,70.96131389,69.99181416,70.66946115,69.89591243,70.75145746,68.75171466,71.22246478,72.36528874,71.64198781,70.07501869,70.44111234,69.74888182,71.80243171,71.95446635,71.72012704,71.41341337,71.23192356,72.87921355,69.82601867,70.44894019,70.07999342,70.62321185,70.25622341,71.61708851,70.20227384,71.08357705,70.19178853,69.98285636,68.80999387,70.92248546,72.35583372,70.70875426,72.78984671,71.25795623,69.67226304,70.62312774,71.00094608,68.91011083,71.95060732,69.56027226,71.63888847,69.91845994,71.28233045,69.19903551,70.73623022,71.41676441,70.3429797,71.6787953,70.57119842,70.82659839,71.18308755,72.25974338,72.18428213,71.62361028,70.09764529,70.21101103,70.57442518,73.01269496,69.64016405,71.44337137,71.06448015,71.35543529,69.48248715,69.87145857,70.53048014,73.27927859,70.89338544,73.08833781,70.90165749,70.57119276,71.82609592,71.3795348,72.35646628,70.53600264,72.06322566,69.41596844,71.7670526,70.26992529,72.63311512,69.1568008,68.86549711,71.83485167,70.22214103
