Hours,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Average
768,66.61689213,71.02220125,70.60117742,70.13974201,69.87758294,72.20986935,72.27258224,69.50210322,71.23991183,71.96830649,72.87424138,69.002063,71.07852171,71.58835133,71.21811682,71.96850161,69.56169973,71.76158413,73.12586156,71.45307485,70.26868356,71.57981414,71.52720721,69.65318853,68.69794493,72.11742021,72.85000686,69.78438615,71.13953297,71.77119185,70.88024647,69.36950739,71.20690821,69.89252249,70.38868814,70.85463136,70.1329063,70.16896126,70.20239802,71.45407179,72.14032748,72.46565941,69.27723588,71.54217049,71.17456659,71.9453911,72.87592881,72.31596897,70.04461512,69.59895088,71.91685548,70.79031376,69.95495398,70.71523306,69.00983914,69.58289748,69.9295696,71.25597824,70.19011766,70.20004986,68.70018838,72.07002192,71.1738012,72.56660409,71.13202604,69.79834643,73.11350711,71.51694691,68.72645547,72.63694819,68.84123774,69.42684652,69.23131843,71.37553305,72.26624061,68.43156874,69.3825485,72.51207533,71.3074774,70.56520299,71.01799478,71.5696313,72.58162529,71.29618915,71.36518483,71.37628628,70.3538213,69.70456005,70.80916403,68.42213809,70.69708322,70.4802953,68.23371535,72.12451645,68.76685558,72.44667836,72.30073715,71.20668152,68.97207346,71.612044,70.80061396
769,66.61991803,71.49615087,71.43064674,69.00590314,70.79318617,71.71340425,71.52405928,70.1985746,70.85758476,72.03996776,72.07977622,70.05391779,70.09964017,71.53797558,71.09587816,72.01448351,69.63705246,72.28028779,73.17603955,71.45739874,69.08965883,72.41348332,72.16924451,68.90957049,70.53723974,70.5883112,73.55099191,68.89547639,70.99185269,72.13045463,71.74861256,69.10605403,71.16792519,71.05487477,70.33338232,72.07114045,69.86520656,70.60772852,71.1708432,70.69052448,71.18744485,71.6766901,68.91789162,71.9262253,70.87394948,71.47474048,71.92001469,71.91889071,69.06925946,71.17529974,72.52268195,70.20233791,69.47872941,71.16278993,68.76615622,68.99598947,71.0329788,70.608631,71.56466749,70.94922454,68.76674512,71.51208919,71.54794734,71.50770782,69.83826716,70.85580899,72.8896837,71.00139296,70.38332248,71.34302408,68.49792588,70.93695633,71.17046607,70.44398673,71.84088432,69.27274743,69.77522876,71.49324654,71.13577014,70.54338186,71.06415055,72.73373169,70.78626229,70.71971059,72.3873736,70.96126527,70.62261578,69.74284765,71.6868077,68.90508226,71.272168,70.50296645,67.80156231,72.97175155,70.09596232,73.23977632,72.27831474,72.44179161,70.79789978,71.01670968,70.88414348
770,66.62269159,71.31675523,70.98146885,68.69797195,71.34712494,70.14373067,72.27803104,69.8020268,70.26574238,73.10653605,70.25134283,71.13655354,69.13646175,69.96591254,70.56182946,73.01911619,70.84122637,72.19015515,73.02614759,72.34413328,70.38900133,70.92705035,72.78388534,70.32083925,71.98465332,69.78197767,73.4410538,69.28247091,69.70973334,72.99598452,70.6842201,68.69536334,70.31172604,71.98236685,71.37264793,72.15335604,70.61671612,69.43385216,71.42555558,71.85304393,69.9994511,70.12210038,70.35627429,71.77124859,70.30478843,72.61912889,71.63769622,70.85679625,68.67251507,72.63014947,71.72234981,71.4036263,70.08439697,71.79110488,69.76477089,68.65513481,71.54966479,71.6401134,70.83401881,72.24427292,69.15707892,69.97855815,70.55153144,71.81870563,70.07421641,70.07974624,73.4745977,70.39994939,70.56178115,71.58174481,70.39823778,71.95184127,71.70113563,71.63561143,71.52868638,69.67114824,71.12787644,71.18230093,70.77028267,70.12220034,70.54745782,72.17477224,70.48522545,71.7847785,72.71288858,71.36638942,71.15230458,70.63818435,71.80679994,68.92587766,72.11734674,69.60712664,68.05332586,72.71895553,70.31312478,73.61193092,71.38457798,71.20872121,70.94754508,70.04988767,70.9521451
771,66.62523514,72.48248777,70.84677861,70.24347612,71.73623185,69.69592989,70.48311169,70.84475793,70.93028166,73.15579559,71.04291159,72.31381127,69.91707749,71.03371878,70.04955781,71.93175155,70.02286704,73.07976733,73.02288258,72.87835641,70.70374336,70.03864607,73.26890576,71.11637619,73.10301503,69.13785559,71.649051,69.09529554,69.26624249,71.97736207,69.28003962,68.60911096,70.32892006,72.39338037,71.42509184,70.47721892,71.58479693,69.63781357,70.66169411,70.90398721,70.26245051,71.00694214,72.00063312,70.9771756,69.01919671,72.10803377,70.0110276,69.45588252,68.04394906,73.40526322,70.3209731,71.14076107,69.10027927,71.12581538,70.6977226,70.50419516,71.28058965,71.86587234,72.19152377,72.19659201,68.88649724,71.28695606,69.4478701,70.45824039,68.88270119,70.39489812,72.22989782,71.34242798,71.15472915,71.18209242,69.47003595,71.7200995,70.50102232,70.59919915,70.93581527,70.55355266,70.64543413,72.30397245,71.76243333,70.77981357,69.70595116,71.0759599,71.00308756,72.6377727,73.40460899,71.8571018,71.0574246,69.9361131,71.31211266,69.60699311,72.00945044,69.12561882,69.80437911,72.38059523,71.65409329,73.19775314,72.25990603,69.74917718,70.44102027,70.19811208,70.90665133
772,66.62756906,72.89628443,70.79715672,70.77150798,70.41595244,70.35639322,71.49174642,69.58598104,72.09697937,72.82279986,71.31663132,70.9380224,69.13799235,70.02869482,71.19539826,72.21641263,69.03170948,71.62887016,72.19056567,71.08657577,69.67470567,69.11574548,73.92289921,70.68286043,72.6367958,69.02193758,70.40724619,70.36583042,70.326577,72.62426054,70.88201013,69.91511505,71.44935767,71.95653856,72.61425798,69.79388901,71.58105224,70.70873653,71.80419997,69.84969514,69.866514,70.96237161,71.41662025,70.65828777,68.7360509,72.74439565,70.93192441,69.98963285,68.4182741,73.69582566,71.36823081,70.16859636,69.29838418,72.22276234,71.70008677,69.95971625,70.58922348,71.34034984,71.36356488,71.105125,69.11747922,70.21470799,69.82124893,70.13885897,69.00166164,69.23950681,70.8558452,70.64430876,70.44250338,70.59384523,70.89473199,72.64694245,69.89045046,69.81431463,70.84272106,70.20500811,69.55184935,72.81060113,72.91121834,69.47087792,70.07468822,71.50662183,72.38722722,70.8603636,72.50096395,71.22879595,71.87315755,71.07258843,70.64520081,71.02790523,72.57099742,69.14514997,69.50054023,71.13479634,72.00102739,73.12766884,71.31766352,69.68547978,69.71671039,71.16843773,70.84157557
773,44.64408507,72.24864155,71.3245028,71.48520702,69.76357385,71.2239048,71.61777484,70.67942334,71.05579797,73.47324839,72.14762201,70.5358659,68.58808659,71.50115516,72.44516044,71.41654947,69.26407717,71.87391319,71.38878539,70.27141644,68.92808854,68.54609803,71.66892728,69.61435508,72.78762018,70.89115751,70.03892429,71.71835666,71.12107155,72.10043672,70.57755644,71.64650457,72.60681324,72.83161175,71.51469184,71.0389901,72.19348419,70.57638691,70.49274457,70.11847948,70.32598514,70.36000881,71.23527119,71.29727721,69.58371371,72.79730438,71.3451116,70.1883547,70.51086824,72.84233271,72.2602723,70.40990758,71.0259978,71.35167495,72.148629,70.05179964,70.57155598,70.86554799,70.20398344,71.90160469,69.51189186,71.10114675,71.20972183,69.82687085,70.36358978,69.15351011,70.41885701,69.45480772,69.68793461,71.50917337,72.03486261,73.43873896,70.04478327,69.94696331,70.73367742,70.98367456,69.75277576,73.25699047,73.50555419,68.92283083,70.59962753,72.3451897,73.07283992,71.36485651,70.65545275,72.33289224,70.6566066,70.34370846,69.5083941,72.27550924,73.28597103,70.6940648,70.33382782,72.19775137,71.74393013,73.38245594,72.1509621,71.17316145,70.91511215,69.95311078,70.83082071
774,27.32349314,72.89916148,72.48671751,71.88182576,68.82535302,70.73173906,72.33649411,71.51488121,70.81054894,72.80830568,70.68385336,69.51757754,69.24601125,70.75792518,71.71403309,70.14608502,68.53595547,71.84031309,71.91327679,68.8668304,69.83670579,68.00137621,70.72605036,69.95139434,71.60614147,71.94832062,71.28263148,71.09668533,70.73573822,70.46308941,70.87755068,72.75394747,72.14056963,72.90761437,72.58576432,71.83822979,72.26414735,70.43156235,69.7847511,69.96651588,69.52727225,71.55453027,70.68120732,69.95173941,69.80998047,72.30197471,70.21235685,71.32000986,71.66812945,71.03530967,73.06998445,70.83386818,69.88576653,71.51361675,70.68124862,69.17838343,70.21748006,69.82510933,70.14214235,71.65547932,69.20662774,70.82845445,70.57323233,70.93621085,70.09114314,69.06597997,71.5948698,69.51930553,69.68104249,71.73030144,72.09432547,73.64766754,69.16670602,69.63727153,70.60204123,72.03325333,69.85049378,71.9320088,74.10014291,70.1342058,71.44003489,72.6174979,73.21939859,71.97979281,71.30878519,72.55319035,71.50970685,71.6466873,70.42064098,73.26836426,72.62313795,69.69575228,69.78797691,70.9785001,71.07440945,71.36472904,71.15615919,71.77495118,70.07954701,71.34848114,70.57377784
775,14.66597226,73.31754356,72.23310978,71.34775487,68.36959197,71.53534215,70.77551347,71.26792906,71.71321979,73.44510113,69.4928113,70.58238679,69.56409798,70.35125598,70.5249374,71.11304162,68.08035797,71.43426382,72.40775757,69.37790523,70.56497372,68.33824172,70.58744016,70.67835762,71.00971778,73.05391705,71.34537087,71.20775489,70.06243751,70.35401556,71.5413737,72.8111117,73.10580093,71.99848166,72.08926793,72.38678342,70.66130934,70.70484186,70.8311354,69.11018448,70.78016515,72.73018401,70.69893862,70.19340693,69.18908439,72.06713356,70.37529987,71.70119106,71.32633907,71.12450752,72.50970629,71.34932588,70.50796798,70.47945372,70.63758571,69.1659343,69.54164829,70.68525146,69.02354089,70.1098549,69.00411258,70.9098175,69.74041404,71.46678215,70.96163694,68.84729572,71.83546157,70.62492662,69.47111278,72.87936253,72.77436625,73.41953443,70.48402151,70.16612952,71.32803326,72.15968522,68.86249012,71.59068456,72.76156214,70.75309108,70.2729173,71.62299037,71.53994936,72.94512779,70.72383508,73.16023597,72.24503069,71.10256085,70.35165053,72.28402734,70.62671173,70.01088342,71.48457618,71.33359855,71.74860871,70.26530308,71.29530599,70.65826902,70.3743441,71.31044471,70.43635822
776,7.337916986,71.94152672,72.0498597,71.2755545,69.01737859,71.30482905,71.90874484,72.05401235,72.4806526,72.56387873,68.65434572,71.80867701,69.77189637,71.00638478,70.78782288,70.03682889,70.12926565,72.10746694,71.12234014,70.44263291,69.68159596,68.92663707,70.43396137,69.75685156,71.14362707,72.10736612,71.92566134,70.7874808,70.52118578,69.84331751,70.4984731,72.54594454,71.59791476,70.97986251,72.12042144,72.82695476,69.70641494,71.28339231,70.17011693,69.13473728,69.82310214,73.13212512,69.55996135,70.72189887,69.50566802,70.83557306,69.70902145,72.43702523,71.89721943,70.21975849,72.51830899,70.22453243,70.56271469,69.53379311,69.49970166,69.06711877,70.43928512,70.54241842,70.84991424,69.86054791,69.83866205,70.45492332,70.48675321,71.12435538,70.52609968,70.41122984,70.87672671,71.50209741,69.76983678,72.41509401,72.76778856,72.37991398,70.03225643,69.53270405,70.06426645,72.71713012,70.560322,72.04583049,72.72755121,71.88729789,69.60681339,70.65904509,70.19099099,72.79415372,71.25743579,72.92003598,72.34395006,70.19149301,71.68929911,73.08448666,71.38683237,70.664611,70.96324919,70.24063735,72.56458966,69.68065957,72.34814217,69.93466547,69.36899801,70.77593965,70.29520489
777,3.340800188,70.41482025,71.35748776,70.46679411,69.71885544,71.22979259,71.37185241,70.88603041,71.81451248,72.75897773,69.93116801,70.64818079,70.27898712,70.0479955,70.49485101,70.88946578,70.96886212,72.21845035,70.96131389,69.99181416,70.66946115,69.89591243,70.75145746,68.75171466,71.22246478,72.36528874,71.64198781,70.07501869,70.44111234,69.74888182,71.80243171,71.95446635,71.72012704,71.41341337,71.23192356,72.87921355,69.82601867,70.44894019,70.07999342,70.62321185,70.25622341,71.61708851,70.20227384,71.08357705,70.19178853,69.98285636,68.80999387,70.92248546,72.35583372,70.70875426,72.78984671,71.25795623,69.67226304,70.62312774,71.00094608,68.91011083,71.95060732,69.56027226,71.63888847,69.91845994,71.28233045,69.19903551,70.73623022,71.41676441,70.3429797,71.6787953,70.57119842,70.82659839,71.18308755,72.25974338,72.18428213,71.62361028,70.09764529,70.21101103,70.57442518,73.01269496,69.64016405,71.44337137,71.06448015,71.35543529,69.48248715,69.87145857,70.53048014,73.27927859,70.89338544,73.08833781,70.90165749,70.57119276,71.82609592,71.3795348,72.35646628,70.53600264,72.06322566,69.41596844,71.7670526,70.26992529,72.63311512,69.1568008,68.86549711,71.83485167,70.22214103
