system:time_start,ET,GEE Code Link: https://code.earthengine.google.com/ec61cb7f1f9d6c5d1df7543a4afe6d32
1-Oct-15,0.047,
1-Oct-15,0.086,
1-Oct-15,0.086,
1-Oct-15,0.086,
1-Oct-15,0.094,
1-Oct-15,0.094,
1-Oct-15,0.094,
1-Oct-15,0.091,
1-Oct-15,0.091,
1-Oct-15,0.091,
1-Oct-15,0.088,
1-Oct-15,0.088,
1-Oct-15,0.088,
1-Oct-15,0.247,
1-Oct-15,0.247,
1-Oct-15,0.247,
1-Oct-15,0.272,
1-Oct-15,0.272,
1-Oct-15,0.272,
1-Oct-15,0.214,
1-Oct-15,0.214,
1-Oct-15,0.214,
1-Oct-15,0.074,
1-Oct-15,0.074,
2-Oct-15,0.074,
2-Oct-15,0.054,
2-Oct-15,0.054,
2-Oct-15,0.054,
2-Oct-15,0.051,
2-Oct-15,0.051,
2-Oct-15,0.051,
2-Oct-15,0.063,
2-Oct-15,0.063,
2-Oct-15,0.063,
2-Oct-15,0.068,
2-Oct-15,0.068,
2-Oct-15,0.068,
2-Oct-15,0.139,
2-Oct-15,0.139,
2-Oct-15,0.139,
2-Oct-15,0.17,
2-Oct-15,0.17,
2-Oct-15,0.17,
2-Oct-15,0.123,
2-Oct-15,0.123,
2-Oct-15,0.123,
2-Oct-15,0.056,
2-Oct-15,0.056,
3-Oct-15,0.056,
3-Oct-15,0.06,
3-Oct-15,0.06,
3-Oct-15,0.06,
3-Oct-15,0.05,
3-Oct-15,0.05,
3-Oct-15,0.05,
3-Oct-15,0.048,
3-Oct-15,0.048,
3-Oct-15,0.048,
3-Oct-15,0.043,
3-Oct-15,0.043,
3-Oct-15,0.043,
3-Oct-15,0.095,
3-Oct-15,0.095,
3-Oct-15,0.095,
3-Oct-15,0.131,
3-Oct-15,0.131,
3-Oct-15,0.131,
3-Oct-15,0.137,
3-Oct-15,0.137,
3-Oct-15,0.137,
3-Oct-15,0.066,
3-Oct-15,0.066,
4-Oct-15,0.066,
4-Oct-15,0.066,
4-Oct-15,0.066,
4-Oct-15,0.066,
4-Oct-15,0.043,
4-Oct-15,0.043,
4-Oct-15,0.043,
4-Oct-15,0.035,
4-Oct-15,0.035,
4-Oct-15,0.035,
4-Oct-15,0.038,
4-Oct-15,0.038,
4-Oct-15,0.038,
4-Oct-15,0.34,
4-Oct-15,0.34,
4-Oct-15,0.34,
4-Oct-15,0.591,
4-Oct-15,0.591,
4-Oct-15,0.591,
4-Oct-15,0.462,
4-Oct-15,0.462,
4-Oct-15,0.462,
4-Oct-15,0.09,
4-Oct-15,0.09,
5-Oct-15,0.09,
5-Oct-15,0.009,
5-Oct-15,0.009,
5-Oct-15,0.009,
5-Oct-15,-0.015,
5-Oct-15,-0.015,
5-Oct-15,-0.015,
5-Oct-15,-0.02,
5-Oct-15,-0.02,
5-Oct-15,-0.02,
5-Oct-15,0.006,
5-Oct-15,0.006,
5-Oct-15,0.006,
5-Oct-15,0.264,
5-Oct-15,0.264,
5-Oct-15,0.264,
5-Oct-15,0.409,
5-Oct-15,0.409,
5-Oct-15,0.409,
5-Oct-15,0.316,
5-Oct-15,0.316,
5-Oct-15,0.316,
5-Oct-15,0.067,
5-Oct-15,0.067,
6-Oct-15,0.067,
6-Oct-15,0.013,
6-Oct-15,0.013,
6-Oct-15,0.013,
6-Oct-15,-0.008,
6-Oct-15,-0.008,
6-Oct-15,-0.008,
6-Oct-15,-0.015,
6-Oct-15,-0.015,
6-Oct-15,-0.015,
6-Oct-15,-0.006,
6-Oct-15,-0.006,
6-Oct-15,-0.006,
6-Oct-15,0.265,
6-Oct-15,0.265,
6-Oct-15,0.265,
6-Oct-15,0.517,
6-Oct-15,0.517,
6-Oct-15,0.517,
6-Oct-15,0.41,
6-Oct-15,0.41,
6-Oct-15,0.41,
6-Oct-15,0.028,
6-Oct-15,0.028,
7-Oct-15,0.028,
7-Oct-15,-0.002,
7-Oct-15,-0.002,
7-Oct-15,-0.002,
7-Oct-15,-0.005,
7-Oct-15,-0.005,
7-Oct-15,-0.005,
7-Oct-15,-0.007,
7-Oct-15,-0.007,
7-Oct-15,-0.007,
7-Oct-15,0.008,
7-Oct-15,0.008,
7-Oct-15,0.008,
7-Oct-15,0.275,
7-Oct-15,0.275,
7-Oct-15,0.275,
7-Oct-15,0.553,
7-Oct-15,0.553,
7-Oct-15,0.553,
7-Oct-15,0.418,
7-Oct-15,0.418,
7-Oct-15,0.418,
7-Oct-15,0.062,
7-Oct-15,0.062,
8-Oct-15,0.062,
8-Oct-15,0.019,
8-Oct-15,0.019,
8-Oct-15,0.019,
8-Oct-15,0.024,
8-Oct-15,0.024,
8-Oct-15,0.024,
8-Oct-15,0.01,
8-Oct-15,0.01,
8-Oct-15,0.01,
8-Oct-15,0.016,
8-Oct-15,0.016,
8-Oct-15,0.016,
8-Oct-15,0.286,
8-Oct-15,0.286,
8-Oct-15,0.286,
8-Oct-15,0.475,
8-Oct-15,0.475,
8-Oct-15,0.475,
8-Oct-15,0.371,
8-Oct-15,0.371,
8-Oct-15,0.371,
8-Oct-15,0.059,
8-Oct-15,0.059,
9-Oct-15,0.059,
9-Oct-15,0.023,
9-Oct-15,0.023,
9-Oct-15,0.023,
9-Oct-15,0.023,
9-Oct-15,0.023,
9-Oct-15,0.023,
9-Oct-15,0.024,
9-Oct-15,0.024,
9-Oct-15,0.024,
9-Oct-15,0.027,
9-Oct-15,0.027,
9-Oct-15,0.027,
9-Oct-15,0.142,
9-Oct-15,0.142,
9-Oct-15,0.142,
9-Oct-15,0.341,
9-Oct-15,0.341,
9-Oct-15,0.341,
9-Oct-15,0.347,
9-Oct-15,0.347,
9-Oct-15,0.347,
9-Oct-15,0.054,
9-Oct-15,0.054,
10-Oct-15,0.054,
