Link to GEE CODE For ET Extraction: https://code.earthengine.google.com/4e8d374ff7fcf4b5052015186193e611,
system:time_start,ET
1-Jan-07,39.06
9-Jan-07,35.987
17-Jan-07,46.69
25-Jan-07,37.448
2-Feb-07,43.026
10-Feb-07,41.431
18-Feb-07,49.399
26-Feb-07,58.92
6-Mar-07,73.005
14-Mar-07,
22-Mar-07,101.909
30-Mar-07,78.598
7-Apr-07,104.572
15-Apr-07,91.957
23-Apr-07,150.546
1-May-07,104.272
9-May-07,216.469
17-May-07,267.875
25-May-07,404.666
2-Jun-07,347.849
10-Jun-07,378.106
18-Jun-07,414.32
26-Jun-07,408.945
4-Jul-07,402.549
12-Jul-07,381.977
20-Jul-07,352.221
28-Jul-07,364.925
5-Aug-07,359.138
13-Aug-07,333.594
21-Aug-07,325.744
29-Aug-07,374.336
6-Sep-07,300.173
14-Sep-07,283.839
22-Sep-07,273.609
30-Sep-07,178.581
8-Oct-07,140.194
16-Oct-07,128.347
24-Oct-07,56.198
1-Nov-07,48.772
9-Nov-07,42.363
17-Nov-07,39.738
25-Nov-07,43.49
3-Dec-07,36.285
11-Dec-07,28.97
19-Dec-07,
27-Dec-07,22.206
1-Jan-08,42.035
9-Jan-08,44.29
17-Jan-08,
25-Jan-08,
2-Feb-08,41.487
10-Feb-08,63.64
18-Feb-08,48.548
26-Feb-08,69.404
5-Mar-08,70.162
13-Mar-08,72.88
21-Mar-08,69.993
29-Mar-08,
6-Apr-08,123.062
14-Apr-08,79.194
22-Apr-08,101.005
30-Apr-08,116.424
8-May-08,126.591
16-May-08,196.3
24-May-08,339.366
1-Jun-08,353.93
9-Jun-08,413.539
17-Jun-08,322.109
25-Jun-08,381.868
3-Jul-08,355.22
11-Jul-08,410.027
19-Jul-08,350.982
27-Jul-08,336.059
4-Aug-08,229.603
12-Aug-08,340.731
20-Aug-08,344.895
28-Aug-08,342.643
5-Sep-08,289.702
13-Sep-08,256.064
21-Sep-08,200.149
29-Sep-08,106.774
7-Oct-08,146.252
15-Oct-08,59.718
23-Oct-08,53.634
31-Oct-08,60.019
8-Nov-08,55.114
16-Nov-08,43.635
24-Nov-08,42.038
2-Dec-08,41.743
10-Dec-08,33.464
18-Dec-08,27.244
26-Dec-08,30.071
1-Jan-09,40.642
9-Jan-09,24.333
17-Jan-09,
25-Jan-09,50.024
2-Feb-09,57.784
10-Feb-09,57.369
18-Feb-09,60.186
26-Feb-09,64.723
6-Mar-09,81.037
14-Mar-09,79.086
22-Mar-09,94.592
30-Mar-09,117.403
7-Apr-09,84.323
15-Apr-09,91.134
23-Apr-09,137.647
1-May-09,145.187
9-May-09,258.707
17-May-09,310.807
25-May-09,314.171
2-Jun-09,339.173
10-Jun-09,247.238
18-Jun-09,
26-Jun-09,374.775
4-Jul-09,371.882
12-Jul-09,382.544
20-Jul-09,372.953
28-Jul-09,353.992
5-Aug-09,321.892
13-Aug-09,402.43
21-Aug-09,317.671
29-Aug-09,290.986
6-Sep-09,239.763
14-Sep-09,256
22-Sep-09,209.005
30-Sep-09,153.598
8-Oct-09,80.651
16-Oct-09,60.063
24-Oct-09,67.397
1-Nov-09,54.121
9-Nov-09,56.457
17-Nov-09,51.502
25-Nov-09,36.333
3-Dec-09,41.856
11-Dec-09,40.674
19-Dec-09,
27-Dec-09,20.902
1-Jan-10,
9-Jan-10,40.385
17-Jan-10,39.191
25-Jan-10,41.821
2-Feb-10,43.033
10-Feb-10,53.306
18-Feb-10,49.089
26-Feb-10,67.175
6-Mar-10,66.955
14-Mar-10,86.261
22-Mar-10,82.567
30-Mar-10,124.263
7-Apr-10,123.119
15-Apr-10,108.858
23-Apr-10,116.828
1-May-10,293.231
9-May-10,226.637
17-May-10,294.971
25-May-10,406.651
2-Jun-10,358.719
10-Jun-10,317.858
18-Jun-10,420.902
26-Jun-10,417.507
4-Jul-10,399.935
12-Jul-10,386.554
20-Jul-10,352.949
28-Jul-10,348.374
5-Aug-10,349.24
13-Aug-10,338.229
21-Aug-10,292.843
29-Aug-10,371.657
6-Sep-10,278.391
14-Sep-10,265.744
22-Sep-10,254.139
30-Sep-10,151.411
8-Oct-10,151.795
16-Oct-10,61.428
24-Oct-10,82.257
1-Nov-10,43.019
9-Nov-10,54.825
17-Nov-10,52.299
25-Nov-10,43.99
3-Dec-10,38.817
11-Dec-10,32.28
19-Dec-10,42.274
27-Dec-10,22.97
1-Jan-11,39.413
9-Jan-11,
17-Jan-11,26.253
25-Jan-11,33.399
2-Feb-11,45.004
10-Feb-11,59.127
18-Feb-11,57.875
26-Feb-11,71.995
6-Mar-11,80.675
14-Mar-11,86.899
22-Mar-11,78.62
30-Mar-11,105.994
7-Apr-11,103.266
15-Apr-11,108.1
23-Apr-11,187.818
1-May-11,146.155
9-May-11,182.243
17-May-11,223.268
25-May-11,375.339
2-Jun-11,397.443
10-Jun-11,301.632
18-Jun-11,344.623
26-Jun-11,377.949
4-Jul-11,384.136
12-Jul-11,438.785
20-Jul-11,384.378
28-Jul-11,406.806
5-Aug-11,288.669
13-Aug-11,269.112
21-Aug-11,309.473
29-Aug-11,354.668
6-Sep-11,264.516
14-Sep-11,241.009
22-Sep-11,189.134
30-Sep-11,170.38
8-Oct-11,123.11
16-Oct-11,85.126
24-Oct-11,49.478
1-Nov-11,53.435
9-Nov-11,57.73
17-Nov-11,41.816
25-Nov-11,45.203
3-Dec-11,33.705
11-Dec-11,39.298
19-Dec-11,41.044
27-Dec-11,23.966
1-Jan-12,41.355
9-Jan-12,36.91
17-Jan-12,38.256
25-Jan-12,45.158
2-Feb-12,45.736
10-Feb-12,52.409
18-Feb-12,60.318
26-Feb-12,61.825
5-Mar-12,87.958
13-Mar-12,121.967
21-Mar-12,106.232
29-Mar-12,89.544
6-Apr-12,87.955
14-Apr-12,130.891
22-Apr-12,115.404
30-Apr-12,141.326
8-May-12,224.311
16-May-12,304.486
24-May-12,387.652
1-Jun-12,312.032
9-Jun-12,370.947
17-Jun-12,441.754
25-Jun-12,421.609
3-Jul-12,448.23
11-Jul-12,430.262
19-Jul-12,344.371
27-Jul-12,286.801
4-Aug-12,241.25
12-Aug-12,271.318
20-Aug-12,287.646
28-Aug-12,330.673
5-Sep-12,277.18
13-Sep-12,260.062
21-Sep-12,228.672
29-Sep-12,112.748
7-Oct-12,76.824
15-Oct-12,73.611
23-Oct-12,76.157
31-Oct-12,48.715
8-Nov-12,45.894
16-Nov-12,45.273
24-Nov-12,36.469
2-Dec-12,35.681
10-Dec-12,35.834
18-Dec-12,42.762
26-Dec-12,
1-Jan-13,35.604
9-Jan-13,36.093
17-Jan-13,46.8
25-Jan-13,48.02
2-Feb-13,38.821
10-Feb-13,54.778
18-Feb-13,59.77
26-Feb-13,76.778
6-Mar-13,61.667
14-Mar-13,62.744
22-Mar-13,92.713
30-Mar-13,85.097
7-Apr-13,138.666
15-Apr-13,116.584
23-Apr-13,94.928
1-May-13,133.48
9-May-13,190.882
17-May-13,298.174
25-May-13,316.626
2-Jun-13,374.573
10-Jun-13,341.851
18-Jun-13,421.145
26-Jun-13,326.653
4-Jul-13,421.113
12-Jul-13,440.574
20-Jul-13,361.832
28-Jul-13,325.979
5-Aug-13,345.155
13-Aug-13,297.715
21-Aug-13,348.559
29-Aug-13,251.96
6-Sep-13,255.997
14-Sep-13,250.08
22-Sep-13,231.099
30-Sep-13,212.326
8-Oct-13,108.878
16-Oct-13,56.795
24-Oct-13,50.131
1-Nov-13,48.999
9-Nov-13,46.427
17-Nov-13,39.195
25-Nov-13,34.091
3-Dec-13,39.518
11-Dec-13,31.138
19-Dec-13,33.77
27-Dec-13,20.241
1-Jan-14,30.311
9-Jan-14,32.244
17-Jan-14,38.666
25-Jan-14,43.97
2-Feb-14,
10-Feb-14,
18-Feb-14,52.084
26-Feb-14,57.025
6-Mar-14,87.494
14-Mar-14,95.112
22-Mar-14,85.33
30-Mar-14,106.235
7-Apr-14,127.844
15-Apr-14,113.616
23-Apr-14,114.97
1-May-14,137.377
9-May-14,192.935
17-May-14,276.451
25-May-14,283.883
2-Jun-14,364.914
10-Jun-14,347.907
18-Jun-14,395.044
26-Jun-14,450.485
4-Jul-14,417.038
12-Jul-14,280.249
20-Jul-14,393.479
28-Jul-14,280.195
5-Aug-14,377.743
13-Aug-14,285.292
21-Aug-14,337.925
29-Aug-14,307.119
6-Sep-14,296.021
14-Sep-14,259.455
22-Sep-14,244.258
30-Sep-14,144.716
8-Oct-14,122.667
16-Oct-14,66.839
24-Oct-14,60.564
1-Nov-14,49.838
9-Nov-14,56.673
17-Nov-14,39.579
25-Nov-14,44.49
3-Dec-14,24.754
11-Dec-14,38.496
19-Dec-14,35.115
27-Dec-14,24.687
1-Jan-15,33.629
9-Jan-15,34.702
17-Jan-15,33.908
25-Jan-15,32.544
2-Feb-15,
10-Feb-15,
18-Feb-15,
26-Feb-15,46.628
6-Mar-15,
14-Mar-15,71.923
22-Mar-15,96
30-Mar-15,107.293
7-Apr-15,104.336
15-Apr-15,104.273
23-Apr-15,112.477
1-May-15,131.228
9-May-15,279.106
17-May-15,334.561
25-May-15,387.301
2-Jun-15,304.867
10-Jun-15,373.679
18-Jun-15,367.863
26-Jun-15,344.31
4-Jul-15,367.454
12-Jul-15,302.408
20-Jul-15,342.449
28-Jul-15,423.328
5-Aug-15,329.917
13-Aug-15,401.021
21-Aug-15,366.813
29-Aug-15,353.486
6-Sep-15,314.425
14-Sep-15,300.554
22-Sep-15,228.739
30-Sep-15,165.071
8-Oct-15,111.03
16-Oct-15,67.342
24-Oct-15,57.64
1-Nov-15,49.418
9-Nov-15,49.556
17-Nov-15,44.912
25-Nov-15,38.197
3-Dec-15,45.525
11-Dec-15,39.431
19-Dec-15,41.391
27-Dec-15,26.788
1-Jan-16,40.705
9-Jan-16,36.022
17-Jan-16,37.348
25-Jan-16,56.804
2-Feb-16,40.233
10-Feb-16,37.085
18-Feb-16,72.465
26-Feb-16,62.736
5-Mar-16,100.242
13-Mar-16,75.672
21-Mar-16,101.706
29-Mar-16,96.978
6-Apr-16,84.722
14-Apr-16,85.465
22-Apr-16,111.749
30-Apr-16,108.888
8-May-16,136.411
16-May-16,229.715
24-May-16,371.667
1-Jun-16,353.829
9-Jun-16,353.764
17-Jun-16,399.345
25-Jun-16,375.667
3-Jul-16,375.872
11-Jul-16,396.447
19-Jul-16,412.074
27-Jul-16,372.776
4-Aug-16,369.028
12-Aug-16,400.158
20-Aug-16,374.263
28-Aug-16,297.143
5-Sep-16,300.857
13-Sep-16,258.171
21-Sep-16,221.255
29-Sep-16,162.577
7-Oct-16,125.207
15-Oct-16,92.949
23-Oct-16,60.777
31-Oct-16,53.611
8-Nov-16,50.743
16-Nov-16,49.359
24-Nov-16,39.759
2-Dec-16,40.895
10-Dec-16,35.27
18-Dec-16,33.443
26-Dec-16,32.135
1-Jan-17,38.777
9-Jan-17,43.838
17-Jan-17,41.931
25-Jan-17,51.718
2-Feb-17,51.667
10-Feb-17,48.924
18-Feb-17,92.588
26-Feb-17,63.9
6-Mar-17,59.384
14-Mar-17,
22-Mar-17,82.369
30-Mar-17,81.908
7-Apr-17,121.726
15-Apr-17,123.237
23-Apr-17,157.623
1-May-17,161.972
9-May-17,139.9
17-May-17,315.332
25-May-17,185.772
2-Jun-17,244.202
10-Jun-17,405.819
18-Jun-17,435.943
26-Jun-17,370.782
4-Jul-17,356.382
12-Jul-17,334.165
20-Jul-17,360.739
28-Jul-17,368.35
5-Aug-17,304.92
13-Aug-17,264.053
21-Aug-17,326.628
29-Aug-17,274.958
6-Sep-17,229.392
14-Sep-17,195.431
22-Sep-17,260.471
30-Sep-17,133.8
8-Oct-17,115.103
16-Oct-17,64.213
24-Oct-17,63.34
1-Nov-17,67.555
9-Nov-17,39.314
17-Nov-17,43.485
25-Nov-17,43.736
3-Dec-17,43.611
11-Dec-17,44.243
19-Dec-17,32.994
27-Dec-17,17.016
1-Jan-18,26.874
9-Jan-18,36.658
17-Jan-18,42.654
25-Jan-18,44.442
2-Feb-18,43.458
10-Feb-18,47.494
18-Feb-18,95.182
26-Feb-18,73.444
6-Mar-18,79.735
14-Mar-18,74.917
22-Mar-18,110.593
30-Mar-18,99.004
7-Apr-18,103.464
15-Apr-18,98.963
23-Apr-18,130.894
1-May-18,177.042
9-May-18,252.669
17-May-18,291.92
25-May-18,360.232
2-Jun-18,297.721
10-Jun-18,359.948
18-Jun-18,387.848
26-Jun-18,418.6
4-Jul-18,427.409
12-Jul-18,418.494
20-Jul-18,362.262
28-Jul-18,355.535
5-Aug-18,359.421
13-Aug-18,310.859
21-Aug-18,342.868
29-Aug-18,357.077
6-Sep-18,224.074
14-Sep-18,187.312
22-Sep-18,185.646
30-Sep-18,198.67
8-Oct-18,122.172
16-Oct-18,71.648
24-Oct-18,56.652
1-Nov-18,51.173
9-Nov-18,46.471
17-Nov-18,41.803
25-Nov-18,38.234
3-Dec-18,38.618
11-Dec-18,34.02
19-Dec-18,36.623
27-Dec-18,20.588
1-Jan-19,34.824
9-Jan-19,48.211
17-Jan-19,32.566
25-Jan-19,39.428
2-Feb-19,59.346
10-Feb-19,54.152
18-Feb-19,62.068
26-Feb-19,71.762
6-Mar-19,76.424
14-Mar-19,85.986
22-Mar-19,89.311
30-Mar-19,111.144
7-Apr-19,119.126
15-Apr-19,136.265
23-Apr-19,124.287
1-May-19,160.545
9-May-19,148.576
17-May-19,298.462
25-May-19,363.168
2-Jun-19,303.227
10-Jun-19,354.279
18-Jun-19,313.486
26-Jun-19,401.4
4-Jul-19,440.509
12-Jul-19,418.57
20-Jul-19,361.388
28-Jul-19,419.655
5-Aug-19,304.032
13-Aug-19,348.787
21-Aug-19,270.765
29-Aug-19,314.278
6-Sep-19,194.286
14-Sep-19,278.022
22-Sep-19,268.211
30-Sep-19,131.22
8-Oct-19,85.499
16-Oct-19,74.411
24-Oct-19,54.659
1-Nov-19,41.197
9-Nov-19,38.23
17-Nov-19,41.496
25-Nov-19,38.763
3-Dec-19,
11-Dec-19,36.953
19-Dec-19,34.456
27-Dec-19,18.702
